"","country_id","country_name"
"1",0,""
"2",2,"Aruba"
"3",3,"China"
"4",4,"Colombia"
"5",5,"Curaçao"
"6",6,"Finland"
"7",7,"Netherlands"
"8",8,"Netherlands Antilles"
"9",9,"Panama"
"10",10,"Paraguay"
"11",11,"United Kingdom"
"12",12,"United States"
"13",13,"Unspecified"
"14",14,"Venezuela"
"15",15,"World"
"16",16,"Afghanistan"
"17",17,"Germany"
"18",18,"India"
"19",19,"Iran, Islamic Rep."
"20",20,"Iraq"
"21",21,"Japan"
"22",22,"Kazakhstan"
"23",23,"Pakistan"
"24",24,"Russian Federation"
"25",25,"Turkey"
"26",26,"Turkmenistan"
"27",27,"United Arab Emirates"
"28",28,"Uzbekistan"
"29",29,"Angola"
"30",30,"Belgium"
"31",31,"Brazil"
"32",32,"Canada"
"33",33,"France"
"34",34,"Italy"
"35",35,"Korea, Dem. Rep."
"36",36,"Korea, Rep."
"37",37,"Other Asia, nes"
"38",38,"Portugal"
"39",39,"Singapore"
"40",40,"South Africa"
"41",41,"Spain"
"42",42,"Togo"
"43",43,"Anguila"
"44",44,"Antigua and Barbuda"
"45",45,"Guyana"
"46",46,"St. Lucia"
"47",47,"Trinidad and Tobago"
"48",48,"Albania"
"49",49,"Austria"
"50",50,"Bulgaria"
"51",51,"Croatia"
"52",52,"Denmark"
"53",53,"Greece"
"54",54,"Macedonia, FYR"
"55",55,"Malta"
"56",56,"Serbia, FR(Serbia/Montenegro)"
"57",57,"Slovak Republic"
"58",58,"Andorra"
"59",59,"Belgium-Luxembourg"
"60",60,"Hong Kong, China"
"61",61,"Lithuania"
"62",62,"Norway"
"63",63,"Switzerland"
"64",64,"Kuwait"
"65",65,"Oman"
"66",66,"Saudi Arabia"
"67",67,"Thailand"
"68",68,"Yemen"
"69",69,"Argentina"
"70",70,"Bolivia"
"71",71,"Chile"
"72",72,"Mexico"
"73",73,"Uruguay"
"74",74,"Vietnam"
"75",75,"Armenia"
"76",76,"Georgia"
"77",77,"Israel"
"78",78,"Ukraine"
"79",79,"Barbados"
"80",80,"Bermuda"
"81",81,"British Virgin Islands"
"82",82,"Dominica"
"83",83,"Dominican Republic"
"84",84,"Grenada"
"85",85,"Jamaica"
"86",86,"Montserrat"
"87",87,"New Zealand"
"88",88,"Saint Maarten (Dutch part)"
"89",89,"Special Categories"
"90",90,"St. Kitts and Nevis"
"91",91,"St. Vincent and the Grenadines"
"92",92,"Suriname"
"93",93,"Australia"
"94",94,"Czech Republic"
"95",95,"Hungary"
"96",96,"Azerbaijan"
"97",97,"Guinea"
"98",98,"Iceland"
"99",99,"Indonesia"
"100",100,"Burundi"
"101",101,"Congo, Dem. Rep."
"102",102,"Djibouti"
"103",103,"Kenya"
"104",104,"Rwanda"
"105",105,"Saint Helena"
"106",106,"Tanzania"
"107",107,"Uganda"
"108",108,"Zambia"
"109",109,"Ireland"
"110",110,"Benin"
"111",111,"Bangladesh"
"112",112,"Chad"
"113",113,"Cote d'Ivoire"
"114",114,"Gabon"
"115",115,"Ghana"
"116",116,"Malaysia"
"117",117,"Niger"
"118",118,"Nigeria"
"119",119,"Burkina Faso"
"120",120,"Mali"
"121",121,"Antarctica"
"122",122,"Liberia"
"123",123,"Romania"
"124",124,"Bahrain"
"125",125,"Egypt, Arab Rep."
"126",126,"Qatar"
"127",127,"Bahamas, The"
"128",128,"Bosnia and Herzegovina"
"129",129,"Slovenia"
"130",130,"Belarus"
"131",131,"Latvia"
"132",132,"Poland"
"133",133,"Belize"
"134",134,"Bunkers"
"135",135,"Costa Rica"
"136",136,"Cuba"
"137",137,"Guatemala"
"138",138,"Namibia"
"139",139,"Peru"
"140",140,"Brunei"
"141",141,"Philippines"
"142",142,"Bhutan"
"143",143,"Nepal"
"144",144,"Sweden"
"145",145,"Botswana"
"146",146,"Zimbabwe"
"147",147,"Central African Republic"
"148",148,"Cameroon"
"149",149,"Congo, Rep."
"150",150,"Fm Sudan"
"151",151,"Free Zones"
"152",152,"Equatorial Guinea"
"153",153,"Heard Island and McDonald Isla"
"154",154,"Cook Islands"
"155",155,"Fiji"
"156",156,"Papua New Guinea"
"157",157,"Ecuador"
"158",158,"Comoros"
"159",159,"American Samoa"
"160",160,"Madagascar"
"161",161,"Mauritius"
"162",162,"Cape Verde"
"163",163,"El Salvador"
"164",164,"Guinea-Bissau"
"165",165,"Mauritania"
"166",166,"Morocco"
"167",167,"Mozambique"
"168",168,"Senegal"
"169",169,"Honduras"
"170",170,"Nicaragua"
"171",171,"Cayman Islands"
"172",172,"Cyprus"
"173",173,"Lebanon"
"174",174,"Libya"
"175",175,"Marshall Islands"
"176",176,"Syrian Arab Republic"
"177",177,"German Democratic Republic"
"178",178,"Soviet Union"
"179",179," World"
