"","data_id","country_id","country_indicator_id","data_time","data_value"
"1",0,0,0,NA,0
"2",2,2,2,2018-03-22,NA
"3",3,2,3,2018-03-22,6
"4",4,2,4,2018-03-22,960
"5",5,2,5,2018-03-22,20
"6",6,2,6,2018-03-22,3415
"7",7,2,7,2018-03-22,1
"8",8,2,8,2018-03-22,NA
"9",9,2,9,2018-03-22,NA
"10",10,2,10,2018-03-22,0.33
"11",11,2,11,2018-03-22,1.25
"12",12,2,12,2018-03-22,NA
"13",13,2,13,2018-03-22,NA
"14",14,2,14,2018-03-22,NA
"15",15,2,2,2017-03-22,2700.56
"16",16,2,3,2017-03-22,6
"17",17,2,4,2017-03-22,989
"18",18,2,5,2017-03-22,21
"19",19,2,6,2017-03-22,3387
"20",20,2,7,2017-03-22,1
"21",21,2,8,2017-03-22,-119.55
"22",22,2,9,2017-03-22,23630
"23",23,2,10,2017-03-22,0.12
"24",24,2,11,2017-03-22,1.3
"25",25,2,12,2017-03-22,146.05
"26",26,2,13,2017-03-22,-4.43
"27",27,2,14,2017-03-22,NA
"28",28,2,2,2016-03-22,2646.93
"29",29,2,3,2016-03-22,15
"30",30,2,4,2016-03-22,1165
"31",31,2,5,2016-03-22,23
"32",32,2,6,2016-03-22,3337
"33",33,2,7,2016-03-22,1
"34",34,2,8,2016-03-22,-126.82
"35",35,2,9,2016-03-22,23550
"36",36,2,10,2016-03-22,0.16
"37",37,2,11,2016-03-22,1.31
"38",38,2,12,2016-03-22,144.47
"39",39,2,13,2016-03-22,-4.79
"40",40,2,14,2016-03-22,110.69
"41",41,2,2,2015-03-22,2691.62
"42",42,2,3,2015-03-22,15
"43",43,2,4,2015-03-22,1076
"44",44,2,5,2015-03-22,22
"45",45,2,6,2015-03-22,3347
"46",46,2,7,2015-03-22,1
"47",47,2,8,2015-03-22,-162.01
"48",48,2,9,2015-03-22,23780
"49",49,2,10,2015-03-22,0.12
"50",50,2,11,2015-03-22,1.4
"51",51,2,12,2015-03-22,145.25
"52",52,2,13,2015-03-22,-6.02
"53",53,2,14,2015-03-22,110.9
"54",54,2,2,2014-03-22,2649.72
"55",55,2,3,2014-03-22,21
"56",56,2,4,2014-03-22,1065
"57",57,2,5,2014-03-22,22
"58",58,2,6,2014-03-22,3325
"59",59,2,7,2014-03-22,NA
"60",60,2,8,2014-03-22,-262.57
"61",61,2,9,2014-03-22,24500
"62",62,2,10,2014-03-22,0.16
"63",63,2,11,2014-03-22,1.3
"64",64,2,12,2014-03-22,149.61
"65",65,2,13,2014-03-22,-9.91
"66",66,2,14,2014-03-22,111.44
"67",67,2,2,2013-03-22,2581.56
"68",68,2,3,2013-03-22,22
"69",69,2,4,2013-03-22,1100
"70",70,2,5,2013-03-22,22
"71",71,2,6,2013-03-22,3213
"72",72,2,7,2013-03-22,1
"73",73,2,8,2013-03-22,-360.34
"74",74,2,9,2013-03-22,23970
"75",75,2,10,2013-03-22,0.09
"76",76,2,11,2013-03-22,1.32
"77",77,2,12,2013-03-22,151.11
"78",78,2,13,2013-03-22,-13.96
"79",79,2,14,2013-03-22,107.52
"80",80,2,2,2012-03-22,2534.64
"81",81,2,3,2012-03-22,38
"82",82,2,4,2012-03-22,1114
"83",83,2,5,2012-03-22,40
"84",84,2,6,2012-03-22,3232
"85",85,2,7,2012-03-22,1
"86",86,2,8,2012-03-22,-435.75
"87",87,2,9,2012-03-22,23520
"88",88,2,10,2012-03-22,0.22
"89",89,2,11,2012-03-22,1.31
"90",90,2,12,2012-03-22,147.67
"91",91,2,13,2012-03-22,-17.19
"92",92,2,14,2012-03-22,102.05
"93",93,2,2,2011-03-22,2549.72
"94",94,2,3,2011-03-22,38
"95",95,2,4,2011-03-22,1046
"96",96,2,5,2011-03-22,40
"97",97,2,6,2011-03-22,3235
"98",98,2,7,2011-03-22,1
"99",99,2,8,2011-03-22,-407.26
"100",100,2,9,2011-03-22,22450
"101",101,2,10,2011-03-22,0.52
"102",102,2,11,2011-03-22,1.32
"103",103,2,12,2011-03-22,151.6
"104",104,2,13,2011-03-22,-15.97
"105",105,2,14,2011-03-22,99
"106",106,2,2,2010-03-22,2390.5
"107",107,2,3,2010-03-22,37
"108",108,2,4,2010-03-22,1029
"109",109,2,5,2010-03-22,40
"110",110,2,6,2010-03-22,3209
"111",111,2,7,2010-03-22,NA
"112",112,2,8,2010-03-22,-394.97
"113",113,2,9,2010-03-22,22370
"114",114,2,10,2010-03-22,0.11
"115",115,2,11,2010-03-22,1.33
"116",116,2,12,2010-03-22,138.61
"117",117,2,13,2010-03-22,-16.52
"118",118,2,14,2010-03-22,93.68
"119",119,2,2,2009-03-22,2498.88
"120",120,2,3,2009-03-22,39
"121",121,2,4,2009-03-22,1132
"122",122,2,5,2009-03-22,40
"123",123,2,6,2009-03-22,3263
"124",124,2,7,2009-03-22,NA
"125",125,2,8,2009-03-22,-312.29
"126",126,2,9,2009-03-22,23770
"127",127,2,10,2009-03-22,0.36
"128",128,2,11,2009-03-22,1.35
"129",129,2,12,2009-03-22,140.06
"130",130,2,13,2009-03-22,-12.5
"131",131,2,14,2009-03-22,89.27
"132",132,2,2,2008-03-22,2745.25
"133",133,2,3,2008-03-22,64
"134",134,2,4,2008-03-22,1
"135",135,2,5,2008-03-22,106
"136",136,2,6,2008-03-22,1
"137",137,2,7,2008-03-22,NA
"138",138,2,8,2008-03-22,-287.71
"139",139,2,9,2008-03-22,25510
"140",140,2,10,2008-03-22,0.36
"141",141,2,11,2008-03-22,1.44
"142",142,2,12,2008-03-22,145.89
"143",143,2,13,2008-03-22,-10.48
"144",144,2,14,2008-03-22,87.31
"145",145,2,2,2007-03-22,2615.08
"146",146,2,3,2007-03-22,55
"147",147,2,4,2007-03-22,1
"148",148,2,5,2007-03-22,85
"149",149,2,6,2007-03-22,1
"150",150,2,7,2007-03-22,NA
"151",151,2,8,2007-03-22,-278.21
"152",152,2,9,2007-03-22,21680
"153",153,2,10,2007-03-22,0.44
"154",154,2,11,2007-03-22,1.43
"155",155,2,12,2007-03-22,142.96
"156",156,2,13,2007-03-22,-10.64
"157",157,2,14,2007-03-22,86.29
"158",158,2,2,2006-03-22,2424.58
"159",159,2,3,2006-03-22,53
"160",160,2,4,2006-03-22,1
"161",161,2,5,2006-03-22,89
"162",162,2,6,2006-03-22,1
