"","country_indicator_id","country_indicator_name"
"1",0,""
"2",2,"Development GDP (current US$ Mil)"
"3",3,"Export No. Of Export partners"
"4",4,"Export No. Of Export products"
"5",5,"Import No. Of Import partners"
"6",6,"Import No. Of Import products"
"7",7,"Tariff No. Of Tariff Agreement"
"8",8,"Development Trade Balance (current US$ Mil)"
"9",9,"Development GNI per capita, Atlas method (current US$)"
"10",10,"Trade Indicator HH Market concentration index"
"11",11,"Trade Indicator Index of export market penetration"
"12",12,"Development Trade (% of GDP)"
"13",13,"Development Trade Balance (% of GDP)"
"14",14,"Development Trade in services (% of GDP)"
