"","relationship_id","country1_id","country2_id"
"1",0,0,0
"2",2,2,3
"3",3,2,4
"4",4,2,5
"5",5,2,6
"6",6,2,7
"7",7,2,8
"8",8,2,9
"9",9,2,10
"10",10,2,11
"11",11,2,12
"12",12,2,13
"13",13,2,14
"14",14,2,15
"15",15,16,3
"16",16,16,17
"17",17,16,18
"18",18,16,19
"19",19,16,20
"20",20,16,21
"21",21,16,22
"22",22,16,23
"23",23,16,24
"24",24,16,25
"25",25,16,26
"26",26,16,27
"27",27,16,12
"28",28,16,13
"29",29,16,28
"30",30,16,15
"31",31,29,30
"32",32,29,31
"33",33,29,32
"34",34,29,3
"35",35,29,33
"36",36,29,18
"37",37,29,34
"38",38,29,35
"39",39,29,36
"40",40,29,7
"41",41,29,37
"42",42,29,38
"43",43,29,39
"44",44,29,40
"45",45,29,41
"46",46,29,42
"47",47,29,27
"48",48,29,12
"49",49,29,13
"50",50,29,15
"51",51,43,44
"52",52,43,32
"53",53,43,6
"54",54,43,33
"55",55,43,45
"56",56,43,21
"57",57,43,8
"58",58,43,46
"59",59,43,47
"60",60,43,25
"61",61,43,11
"62",62,43,12
"63",63,43,15
"64",64,48,49
"65",65,48,50
"66",66,48,3
"67",67,48,51
"68",68,48,52
"69",69,48,17
"70",70,48,53
"71",71,48,34
"72",72,48,54
"73",73,48,55
"74",74,48,7
"75",75,48,56
"76",76,48,57
"77",77,48,41
"78",78,48,25
"79",79,48,11
"80",80,48,12
"81",81,48,15
"82",82,58,49
"83",83,58,30
"84",84,58,59
"85",85,58,3
"86",86,58,33
"87",87,58,17
"88",88,58,53
"89",89,58,60
"90",90,58,34
"91",91,58,21
"92",92,58,61
"93",93,58,7
"94",94,58,62
"95",95,58,38
"96",96,58,24
"97",97,58,41
"98",98,58,63
"99",99,58,27
"100",100,58,11
"101",101,58,12
"102",102,58,15
"103",103,8,2
"104",104,8,30
"105",105,8,17
"106",106,8,21
"107",107,8,7
"108",108,8,9
"109",109,8,12
"110",110,8,13
"111",111,8,14
"112",112,8,15
"113",113,27,3
"114",114,27,33
"115",115,27,17
"116",116,27,60
"117",117,27,18
"118",118,27,19
"119",119,27,20
"120",120,27,21
"121",121,27,36
"122",122,27,64
"123",123,27,65
"124",124,27,37
"125",125,27,66
"126",126,27,63
"127",127,27,67
"128",128,27,25
"129",129,27,11
"130",130,27,12
"131",131,27,13
"132",132,27,15
"133",133,27,68
"134",134,69,70
"135",135,69,31
"136",136,69,71
"137",137,69,3
"138",138,69,33
"139",139,69,17
"140",140,69,18
"141",141,69,34
"142",142,69,21
"143",143,69,72
"144",144,69,7
"145",145,69,10
"146",146,69,41
"147",147,69,12
"148",148,69,13
"149",149,69,73
"150",150,69,14
"151",151,69,74
"152",152,69,15
"153",153,75,30
"154",154,75,59
"155",155,75,50
"156",156,75,32
"157",157,75,3
"158",158,75,33
"159",159,75,76
"160",160,75,17
"161",161,75,19
"162",162,75,20
"163",163,75,77
"164",164,75,34
"165",165,75,22
"166",166,75,7
"167",167,75,24
"168",168,75,63
"169",169,75,25
"170",170,75,26
"171",171,75,78
"172",172,75,27
"173",173,75,11
"174",174,75,12
"175",175,75,15
"176",176,44,43
"177",177,44,79
"178",178,44,80
"179",179,44,81
"180",180,44,32
"181",181,44,3
"182",182,44,5
"183",183,44,82
"184",184,44,83
"185",185,44,33
"186",186,44,84
"187",187,44,85
"188",188,44,21
"189",189,44,86
"190",190,44,7
"191",191,44,8
"192",192,44,87
"193",193,44,9
"194",194,44,88
"195",195,44,41
"196",196,44,89
"197",197,44,90
"198",198,44,91
"199",199,44,92
"200",200,44,47
"201",201,44,27
"202",202,44,11
"203",203,44,12
"204",204,44,13
"205",205,44,15
"206",206,93,3
"207",207,93,17
"208",208,93,60
"209",209,93,18
"210",210,93,21
"211",211,93,36
"212",212,93,87
"213",213,93,39
"214",214,93,89
"215",215,93,67
"216",216,93,11
"217",217,93,12
"218",218,93,13
"219",219,93,15
"220",220,49,3
"221",221,49,94
"222",222,49,33
"223",223,49,17
"224",224,49,95
"225",225,49,34
"226",226,49,21
"227",227,49,7
"228",228,49,89
"229",229,49,63
"230",230,49,11
"231",231,49,12
"232",232,49,15
"233",233,96,32
"234",234,96,3
"235",235,96,94
"236",236,96,33
"237",237,96,76
"238",238,96,17
"239",239,96,97
"240",240,96,60
"241",241,96,98
"242",242,96,18
"243",243,96,99
"244",244,96,19
"245",245,96,77
"246",246,96,34
"247",247,96,21
"248",248,96,22
"249",249,96,37
"250",250,96,24
"251",251,96,39
"252",252,96,41
"253",253,96,67
"254",254,96,25
"255",255,96,26
"256",256,96,78
"257",257,96,27
"258",258,96,11
"259",259,96,12
"260",260,96,15
"261",261,100,30
"262",262,100,59
"263",263,100,3
"264",264,100,101
"265",265,100,52
"266",266,100,102
"267",267,100,33
"268",268,100,17
"269",269,100,18
"270",270,100,19
"271",271,100,34
"272",272,100,21
"273",273,100,103
"274",274,100,7
"275",275,100,23
"276",276,100,104
"277",277,100,105
"278",278,100,66
"279",279,100,39
"280",280,100,63
"281",281,100,106
"282",282,100,25
"283",283,100,107
"284",284,100,27
"285",285,100,11
"286",286,100,12
"287",287,100,13
"288",288,100,15
"289",289,100,108
"290",290,30,33
"291",291,30,17
"292",292,30,109
"293",293,30,34
"294",294,30,7
"295",295,30,11
"296",296,30,12
"297",297,30,15
"298",298,110,111
"299",299,110,30
"300",300,110,31
"301",301,110,112
"302",302,110,3
"303",303,110,113
"304",304,110,33
"305",305,110,114
"306",306,110,115
"307",307,110,18
"308",308,110,99
"309",309,110,34
"310",310,110,116
"311",311,110,7
"312",312,110,117
"313",313,110,118
"314",314,110,39
"315",315,110,40
"316",316,110,67
"317",317,110,42
"318",318,110,25
"319",319,110,11
"320",320,110,12
"321",321,110,13
"322",322,110,74
"323",323,110,15
"324",324,119,30
"325",325,119,59
"326",326,119,110
"327",327,119,3
"328",328,119,113
"329",329,119,33
"330",330,119,17
"331",331,119,115
"332",332,119,18
"333",333,119,21
"334",334,119,120
"335",335,119,7
"336",336,119,117
"337",337,119,118
"338",338,119,24
"339",339,119,39
"340",340,119,40
"341",341,119,63
"342",342,119,42
"343",343,119,11
"344",344,119,12
"345",345,119,13
"346",346,119,15
"347",347,111,121
"348",348,111,30
"349",349,111,3
"350",350,111,33
"351",351,111,17
"352",352,111,60
"353",353,111,18
"354",354,111,99
"355",355,111,34
"356",356,111,21
"357",357,111,36
"358",358,111,64
"359",359,111,122
"360",360,111,116
"361",361,111,7
"362",362,111,39
"363",363,111,41
"364",364,111,67
"365",365,111,27
"366",366,111,11
"367",367,111,12
"368",368,111,13
"369",369,111,15
"370",370,50,30
"371",371,50,3
"372",372,50,33
"373",373,50,17
"374",374,50,53
"375",375,50,34
"376",376,50,123
"377",377,50,24
"378",378,50,56
"379",379,50,25
"380",380,50,78
"381",381,50,12
"382",382,50,13
"383",383,50,15
"384",384,124,93
"385",385,124,31
"386",386,124,3
"387",387,124,125
"388",388,124,17
"389",389,124,18
"390",390,124,21
"391",391,124,64
"392",392,124,65
"393",393,124,37
"394",394,124,126
"395",395,124,66
"396",396,124,39
"397",397,124,27
"398",398,124,11
"399",399,124,12
"400",400,124,13
"401",401,124,15
"402",402,127,79
"403",403,127,30
"404",404,127,31
"405",405,127,32
"406",406,127,3
"407",407,127,82
"408",408,127,6
"409",409,127,33
"410",410,127,17
"411",411,127,115
"412",412,127,109
"413",413,127,21
"414",414,127,103
"415",415,127,72
"416",416,127,7
"417",417,127,8
"418",418,127,118
"419",419,127,41
"420",420,127,63
"421",421,127,47
"422",422,127,11
"423",423,127,12
"424",424,127,13
"425",425,127,14
"426",426,127,15
"427",427,128,49
"428",428,128,3
"429",429,128,51
"430",430,128,17
"431",431,128,34
"432",432,128,24
"433",433,128,56
"434",434,128,129
"435",435,128,63
"436",436,128,13
"437",437,128,15
"438",438,130,3
"439",439,130,17
"440",440,130,34
"441",441,130,131
"442",442,130,61
"443",443,130,7
"444",444,130,132
"445",445,130,24
"446",446,130,78
"447",447,130,11
"448",448,130,13
"449",449,130,15
"450",450,59,33
"451",451,59,17
"452",452,59,34
"453",453,59,7
"454",454,59,89
"455",455,59,11
"456",456,59,12
"457",457,59,15
"458",458,133,79
"459",459,133,134
"460",460,133,32
"461",461,133,3
"462",462,133,135
"463",463,133,136
"464",464,133,5
"465",465,133,83
"466",466,133,33
"467",467,133,17
"468",468,133,137
"469",469,133,18
"470",470,133,109
"471",471,133,34
"472",472,133,85
"473",473,133,21
"474",474,133,72
"475",475,133,138
"476",476,133,7
"477",477,133,8
"478",478,133,9
"479",479,133,46
"480",480,133,92
"481",481,133,47
"482",482,133,11
"483",483,133,12
"484",484,133,13
"485",485,133,15
"486",486,80,2
"487",487,80,127
"488",488,80,79
"489",489,80,32
"490",490,80,3
"491",491,80,52
"492",492,80,33
"493",493,80,76
"494",494,80,17
"495",495,80,18
"496",496,80,34
"497",497,80,21
"498",498,80,62
"499",499,80,63
"500",500,80,11
"501",501,80,12
"502",502,80,13
"503",503,80,14
"504",504,80,15
"505",505,70,69
"506",506,70,59
"507",507,70,31
"508",508,70,71
"509",509,70,3
"510",510,70,4
"511",511,70,17
"512",512,70,18
"513",513,70,21
"514",514,70,36
"515",515,70,139
"516",516,70,63
"517",517,70,11
"518",518,70,12
"519",519,70,13
"520",520,70,73
"521",521,70,14
"522",522,70,15
"523",523,31,69
"524",524,31,31
"525",525,31,71
"526",526,31,3
"527",527,31,33
"528",528,31,17
"529",529,31,20
"530",530,31,34
"531",531,31,21
"532",532,31,36
"533",533,31,7
"534",534,31,118
"535",535,31,66
"536",536,31,12
"537",537,31,15
"538",538,79,134
"539",539,79,32
"540",540,79,3
"541",541,79,45
"542",542,79,85
"543",543,79,21
"544",544,79,46
"545",545,79,92
"546",546,79,47
"547",547,79,11
"548",548,79,12
"549",549,79,13
"550",550,79,15
"551",551,140,93
"552",552,140,3
"553",553,140,17
"554",554,140,60
"555",555,140,18
"556",556,140,99
"557",557,140,21
"558",558,140,36
"559",559,140,116
"560",560,140,87
"561",561,140,37
"562",562,140,141
"563",563,140,39
"564",564,140,67
"565",565,140,11
"566",566,140,12
"567",567,140,74
"568",568,140,15
"569",569,142,49
"570",570,142,111
"571",571,142,3
"572",572,142,52
"573",573,142,17
"574",574,142,60
"575",575,142,18
"576",576,142,99
"577",577,142,34
"578",578,142,21
"579",579,142,36
"580",580,142,143
"581",581,142,7
"582",582,142,62
"583",583,142,24
"584",584,142,39
"585",585,142,144
"586",586,142,63
"587",587,142,67
"588",588,142,11
"589",589,142,12
"590",590,142,13
"591",591,142,15
"592",592,145,30
"593",593,145,32
"594",594,145,3
"595",595,145,33
"596",596,145,18
"597",597,145,77
"598",598,145,34
"599",599,145,138
"600",600,145,62
"601",601,145,38
"602",602,145,39
"603",603,145,40
"604",604,145,144
"605",605,145,63
"606",606,145,27
"607",607,145,11
"608",608,145,12
"609",609,145,13
"610",610,145,15
"611",611,145,146
"612",612,147,49
"613",613,147,30
"614",614,147,59
"615",615,147,110
"616",616,147,100
"617",617,147,148
"618",618,147,112
"619",619,147,3
"620",620,147,101
"621",621,147,149
"622",622,147,125
"623",623,147,150
"624",624,147,33
"625",625,147,151
"626",626,147,17
"627",627,147,18
"628",628,147,77
"629",629,147,34
"630",630,147,21
"631",631,147,7
"632",632,147,23
"633",633,147,38
"634",634,147,66
"635",635,147,41
"636",636,147,63
"637",637,147,27
"638",638,147,11
"639",639,147,12
"640",640,147,13
"641",641,147,74
"642",642,147,15
"643",643,147,108
"644",644,32,3
"645",645,32,33
"646",646,32,17
"647",647,32,21
"648",648,32,36
"649",649,32,72
"650",650,32,11
"651",651,32,12
"652",652,32,15
"653",653,63,3
"654",654,63,33
"655",655,63,17
"656",656,63,60
"657",657,63,18
"658",658,63,34
"659",659,63,7
