"Reporter","Partner","Product.categories","Indicator.Type","Indicator","X2018","X2017","X2016","X2015","X2014","X2013","X2012","X2011","X2010","X2009","X2008","X2007","X2006","X2005","X2004","X2003","X2002","X2001","X2000","X1999","X1998","X1997","X1996","X1995","X1994","X1993","X1992","X1991","X1990","X1989","X1988"
"China","World","Capital goods","Export","Export(US$ Mil)","1145358.82","1047838.95274735","967963.827904448","1062199.46349289","1082681.81937036","1079337.49506133","1023238.3404037","967661.185171329","851223.772538943","650474.285471457","742124.501448792","641613.849827588","512111.097690562","406481.397925081","318607.077313862","224626.95005204","149535.385597088","111262.583623991","97464.1799520645","69317.0831396921","59169.0317503792","51367.1853257244","40901.5782814796","35494.0595090654","23943.3360458752","16419.4533464707","14106.2786618356",NA,NA,NA,NA
"China","World","Chemicals","Export","Export(US$ Mil)","136592.97","117084.035454233","103509.521635932","111923.774813381","116544.18053099","106037.982246398","104331.356285096","109314.962664129","86173.7522031027","62861.6049250726","80721.1803980091","61083.1814253662","46348.9430814099","40290.0848588771","32051.3884903056","24808.1348431366","19933.5192785888","17728.63660631","16480.0679853348","14480.0320687026","14173.436138767","13947.6307099793","12726.7808592009","12962.5355228615","9063.01384541165","7056.84030530803","6772.27976093571",NA,NA,NA,NA
"China","World","Consumer goods","Export","Export(US$ Mil)","885171.69","844879.202935601","819917.031782798","906157.821996621","961306.038389571","899847.525355652","839055.172638684","764752.152935771","642389.885721129","511083.433484668","583616.489271841","527360.664198889","443748.661076009","370356.456600019","302227.809461324","248438.420365557","203762.182170802","176522.494709191","175090.985582222","147237.48241519","143854.384751594","143842.770436805","121152.06558514","120966.391161958","107758.301981357","86659.5238089078","77956.7619052714",NA,NA,NA,NA
"China","World","Food Products","Export","Export(US$ Mil)","34034.57","31618.1161171264","29794.5702100411","29453.1711956038","30938.6631595576","30498.7465654422","30318.0383079771","27425.9909776705","22286.0135093781","18603.4731445573","21354.3324398264","19697.1932952659","16945.3495497101","14161.7587014258","12275.6175815626","10272.1635383993","9141.56875246088","8025.63137740823","7315.68600309088","6264.13490582052","6293.28278283379","6915.06220590692","7668.14029218255","7119.28495046012","6027.74550021976","5794.85202102151","5411.57263024943",NA,NA,NA,NA
"China","World","Fuels","Export","Export(US$ Mil)","46630.49","36252.8716767326","28051.4049214933","29445.2779641169","36743.7379760076","36729.8678386485","34298.9585075162","36374.0452042882","30689.8361209746","23725.6846883074","37263.7962355402","24961.8124728857","21816.9452510755","22290.7132325073","18886.6751603757","14886.4935492998","11508.1014254765","11647.8220562794","11125.3587596772","6745.5236486841","7601.87045398346","10377.6880706188","8962.40404668802","8204.15958374891","6392.08326581235","6592.11427481628","7707.08224196086",NA,NA,NA,NA
"China","World","Intermediate goods","Export","Export(US$ Mil)","416471.95","378072.552784375","357012.457646122","390049.088550344","411032.553512686","379609.053686422","361715.206231477","362594.162278691","283816.126084099","205799.192494217","314193.104022835","256374.433433003","202078.852876565","155383.194825931","127195.524391815","89394.2894235565","70172.5287591748","60980.3107034052","60638.7265153682","48985.5433614312","49897.4638846974","54410.436544702","46060.6527971799","52844.468181756","38343.7025807435","27285.8758606502","27574.8582789855",NA,NA,NA,NA
"China","World","Mach and Elec","Export","Export(US$ Mil)","1093749.23","1004921.02448278","934895.910252023","1010304.91711687","1035149.54306038","1025267.34351707","953586.451679971","900805.420623848","803513.098700744","625013.247032442","716154.521044242","632274.586666886","508338.657342354","407304.85394455","323182.685125211","230825.501310261","158148.541863435","117629.577957005","103223.456948115","75414.9538131217","64062.9243232766","56844.4404078646","46938.5546004473","42569.6780593599","30969.8882469059","22312.7056694086","18958.0702473991",NA,NA,NA,NA
"China","World","Metals","Export","Export(US$ Mil)","186291.42","169118.548207349","161150.18578547","186321.786976854","196515.171742199","169524.848506905","164841.982457414","163326.710041206","127487.443167909","89743.6654623368","168901.746396428","138329.714329135","104729.995200572","72206.8763911383","57050.4648612871","33645.7422301554","25795.0751651","22305.6422250446","23521.8216977674","18211.5586017604","18547.6597012674","19881.7804617655","15707.1624414957","18585.9616205747","10731.8231349472","7493.4244591389","7474.60935578973",NA,NA,NA,NA
"China","World","Plastic or Rubber","Export","Export(US$ Mil)","102824.57","93268.4656948627","84969.1122042325","91125.7852019798","96727.2500377933","92587.7604002822","85814.3400313088","75031.5188226612","57285.3869040633","41995.4350623958","48694.6427072016","43974.5500374857","36384.5750092148","29453.6080488848","22053.362219306","16785.5954786001","13679.3921515548","11531.11891088","11257.6937469541","9121.35164102969","9069.07614783739","8617.91576937333","6680.19479277397","6587.57959791561","4908.30974314246","3526.92802350381","3004.01483219779",NA,NA,NA,NA
"China","World","Raw materials","Export","Export(US$ Mil)","41750.34","42297.5351733072","39927.2605890876","40124.577459641","40685.2772941194","39870.6672358914","39922.9201410361","41780.6858169148","36121.2514353225","29379.7901761453","35987.5723176601","30772.0880278899","28796.2938394959","29518.4210109555","24383.1381953115","23213.8412714789","19844.7729390718","19206.7240036005","19006.8249860906","14860.1680224771","15973.3592555579","19570.2721713944","18520.0987072125","18830.681174709","18556.7357862408","16256.7952246988","17783.502386105",NA,NA,NA,NA
