"setores","historico_estimativa","historico_inf","historico_sup","depois_estimativa","depois_inf","depois_sup","antes_estimativa","antes_inf","antes_sup","beta_estimativa","beta_inf","beta_sup"
"Capital goods",0.77390424479122,0.591067919104078,0.88110205041028,-0.471288696748695,-0.798068280387648,0.0697046454698269,0.862397702775835,0.667757023940755,0.946657539963045,0.981418809087712,0.962881403036781,0.990742109500377
"Chemicals",0.806769727910926,0.645194840706133,0.899269998475081,-0.722508889291579,-0.904134384256709,-0.319715832932345,0.92859137336765,0.818455570276634,0.97290760278708,0.969322636900371,0.939088538434049,0.984668350919206
"Consumer goods",0.750018702628407,0.552737012402265,0.867696621834115,-0.592412559979872,-0.85186673477408,-0.0995010856904283,0.912106251219609,0.779452500024096,0.966475315973587,0.981578715035615,0.963197875094881,0.990822152664565
"Food Products",0.830739485994334,0.685721202048381,0.91232214170332,-0.0243910209983059,-0.541262450245379,0.505858091249795,0.58721124222938,0.17561729804679,0.824060779884273,0.91039044347046,0.827172819562441,0.954535182109565
"Fuels",0.553397320112059,0.26602498419733,0.750434569433031,-0.693499773714062,-0.892932315816756,-0.266528807099986,0.815231751856621,0.569303005744295,0.927245069205302,0.948406631023754,0.898619937796371,0.97407741889579
"Intermediate goods",0.491352756039525,0.185003020301198,0.710664951697691,-0.682983807214415,-0.888809584388156,-0.24786970420486,0.644724318578441,0.263880681127146,0.851658240261192,0.950672604902991,0.902963636263941,0.97523026835677
"Mach and Elec",0.325795241534514,-0.0125663700590283,0.597211132689521,-0.691271185933369,-0.892061393680635,-0.262547584026885,0.775706117644549,0.49189421451224,0.910499887537974,0.83443366277002,0.692048055624424,0.914319078259636
"Metals",0.405362933066161,0.0791996150518675,0.653127674587429,-0.671961010093019,-0.884452091599757,-0.228651795555014,0.70254322456789,0.359544540583799,0.878292018655888,0.907904623400298,0.822592872965067,0.953243990621614
"Plastic or Rubber",0.62935605202748,0.371071529106922,0.797254901222331,-0.466074081043577,-0.795628959459368,0.0763515339502965,0.733139054327276,0.413262142819797,0.891957831640807,0.978102176085903,0.95632887979885,0.989080459537077
"Raw materials",0.469864246805186,0.157880374181713,0.696556423258887,-0.659029297428651,-0.879292290681228,-0.206537764378428,0.220409756039805,-0.265350332992603,0.616927126746301,0.863311479370959,0.742271397893949,0.929796639423908
"Stone and Glass",0.811235819764233,0.652677492331663,0.901714451153794,0.477176917089256,-0.0621409435767237,0.800809888369164,0.339353727928838,-0.141621683545695,0.690705684696661,0.769825992378723,0.584464258365702,0.878825318507875
"Textiles and Clothing",-0.462022585201488,-0.691363858569444,-0.14809854943388,-0.652545997329784,-0.876685824552513,-0.195622211453055,0.139725996286104,-0.3410638461175,0.56257197558494,0.194134783464918,-0.152846402633492,0.49850463370317
"Transportation",0.821669356750735,0.670279593953796,0.907402646054434,-0.142445062428424,-0.61997468903909,0.412087543137547,0.950329453492145,0.871486865805132,0.981285926074158,0.937278676252594,0.877429228474816,0.96839647909163
"Vegetable",0.548462507859509,0.25942863776115,0.747322808755036,-0.549213297161638,-0.833287513648262,-0.0356953739882371,-0.0191413864605135,-0.473898289325064,0.443675818780078,0.813459973812896,0.656415494211159,0.902929656593414
"Wood",-0.290115399552044,-0.571249902261756,0.0519449111868216,-0.871794098688817,-0.958085975159279,-0.640466310675912,0.497915367241636,0.0505453445871541,0.778862561365994,0.43372351006635,0.113301303929192,0.672425757922434
"All Products",0.709691163882028,0.489860964768512,0.844668118797116,-0.604567547011715,-0.856979258681779,-0.118215857817616,0.836094793942707,0.611999471750657,0.935906747696922,1,1,1
"Other Categories",0.813683694747602,0.656791915849539,0.90305181130465,-0.633542720790057,-0.868969404379876,-0.164266747155761,0.679164116191945,0.319974596297288,0.867652400464641,0.920846495527165,0.846559168347593,0.95994821669715
