"Reporter","Partner","Product.categories","Indicator.Type","Indicator","X2018","X2017","X2016","X2015","X2014","X2013","X2012","X2011","X2010","X2009","X2008","X2007","X2006","X2005","X2004","X2003","X2002","X2001","X2000","X1999","X1998","X1997","X1996","X1995","X1994","X1993","X1992","X1991","X1990","X1989","X1988"
"France","World","Capital goods","Export","Export(US$ Mil)","0.0500143199419004","0.00778846137858848","-0.00205652454822928","-0.118043856632971","-0.020606269031766","0.00700943784643973","-0.0411608098147246","0.0829945444679068","0.131629731556309","-0.257676364294088","0.0680142906103472","0.074573562380682","0.0983703737214385","0.0118681919706423","0.112172168558022","0.114679625795893","-0.021262181304852","-0.0643611025851174","-0.00454100711958071","-0.0204796722033429","0.0940113348617535","0.00525690908227715","-0.00340164167470815","0.200922320157102",NA,NA,NA,NA,NA,NA,NA
"France","World","Chemicals","Export","Export(US$ Mil)","0.0556612514536302","0.0636353879654093","-0.0207461529072017","-0.164614926055106","-0.0326594151961504","0.0166742345437163","-0.0404775079799016","0.0614638080220188","0.0284130212624385","-0.127297158759339","0.121967955454897","0.0406434928374451","0.0583142486646289","0.0172465228109598","0.106707028339359","0.162604804408794","0.0790621700489531","0.0218838424491387","-0.0299659969046203","0.017897555648268","0.040124345913573","-0.00821473038892167","-0.00943205044954518","0.189169650811667",NA,NA,NA,NA,NA,NA,NA
"France","World","Consumer goods","Export","Export(US$ Mil)","0.0671129934514019","0.0787012190907005","-0.00909163909517663","-0.149792060198325","-0.0153200949989452","-0.00678164969554202","-0.0591326094934516","0.112903340690358","0.0270020727453291","-0.218332566647242","0.0741720261412556","0.0871958465471144","0.0316928880412899","0.0252609108297718","0.113604119069877","0.162553080558205","0.0844802310707979","0.0131403970841162","-0.0275297668095875","-0.0162271329669173","0.0541267806534164","-0.005771562640953","-0.00810644829362825","0.150182804043541",NA,NA,NA,NA,NA,NA,NA
"France","World","Food Products","Export","Export(US$ Mil)","0.0315471407943234","0.0993650475577494","-0.00821422960203304","-0.13241403519742","-0.0274623126846702","0.0166327585347193","-0.0219520693005311","0.13382142057751","0.0468204889677157","-0.140355032357538","0.0780878011350043","0.0911577107720372","0.0786418412987638","-0.00869118915587934","0.0705934583688085","0.174053535956917","0.099676704783992","-0.0483899409510844","-0.131347619407869","-0.0470069603750751","0.0054384919504561","-0.0157842590748508","-0.0342731884423829","0.164662165496902",NA,NA,NA,NA,NA,NA,NA
"France","World","Fuels","Export","Export(US$ Mil)","0.220622830382792","0.243067083557305","-0.268433764585056","-0.420034040095986","-0.0301892511580682","-0.127904052725164","-0.0881101207807491","0.331249581474745","0.12117560510042","-0.616710579833437","0.354464328995237","-0.0256729568571665","0.115561834061273","0.381086717616969","0.20580309817283","0.227401037944355","-0.0159057757713479","-0.129053960375527","0.230880487828935","-0.00197497577555542","-0.121148418023138","-0.0496067954481011","0.062320753635814","0.150534151930063",NA,NA,NA,NA,NA,NA,NA
"France","World","Intermediate goods","Export","Export(US$ Mil)","0.0573808106128892","0.0789950180682867","-0.0594166836298864","-0.186558143723961","-0.011090232385296","-0.00831697025386008","-0.0988422331817506","0.136877643449652","0.101609260309","-0.316872826545201","0.0745607008359848","0.107675221856811","0.0769956752977595","0.0290993457867766","0.139845281313738","0.139267914215425","0.0414725609333901","-0.0690090938674607","0.00445223704409813","-0.0534607757571913","0.000274520056170096","-0.147143668372168","0.0371396710150381","0.199259952855961",NA,NA,NA,NA,NA,NA,NA
"France","World","Mach and Elec","Export","Export(US$ Mil)","0.0683830466726535","0.0436740872945723","-0.0122141928530398","-0.146510502516134","-0.0164992466507482","-0.00779656719679721","-0.0693875446228988","0.0920869697910853","0.0642938804089343","-0.273095952463125","0.0415311460083003","0.0573144540777618","0.0904946257025585","0.0104361050165027","0.120166423348643","0.0851957611135304","-0.0383357899271211","-0.0868997537348576","-0.0217406456619546","-0.0336752831034348","0.102259462749324","0.0163617807527606","0.0270225537501645","0.206488902581684",NA,NA,NA,NA,NA,NA,NA
"France","World","Metals","Export","Export(US$ Mil)","0.0581937720097515","0.190878634443066","-0.0941195005530159","-0.201728192128958","-0.00830350705192342","-0.0431167086120512","-0.147076799273423","0.139185290732772","0.155719471700015","-0.461289604634234","0.0309173714711222","0.128365184291767","0.171078351938295","0.059451390782584","0.196774858252205","0.151155591437952","0.0514875220834616","-0.071605643390275","0.000899988012166626","-0.0971693877831785","0.0138712589911113","-0.0317051027183952","-0.0853559462761373","0.213810574352114",NA,NA,NA,NA,NA,NA,NA
"France","World","Plastic or Rubber","Export","Export(US$ Mil)","0.0214169691522216","0.144890086427047","-0.0289484521324479","-0.17617411355523","-0.0100790507832506","0.00828358723393815","-0.0949986676388506","0.138484189503994","0.108218805933449","-0.298909373086027","0.0289060306310136","0.0909004964521032","0.0594542742102467","0.0417468304346076","0.169851775143751","0.181459090841916","0.0398243167483424","-0.090845295116642","-0.0345981250955651","-0.0488313773301251","0.0241644366183226","-0.0286505225232424","-0.0410872745747802","0.204725761393737",NA,NA,NA,NA,NA,NA,NA
"France","World","Raw materials","Export","Export(US$ Mil)","0.067928664092006","0.0228364816487406","-0.0926451146489864","-0.179032784995238","-0.0984386342331255","0.0303920508255583","-0.135168224330593","0.206796561945509","0.143849123412792","-0.294948511621186","0.158063931349252","0.146393211001291","0.0740182262320726","-0.0120061022520587","0.106908369483732","0.185575937164257","0.0710341738131601","-0.11657418983117","-0.0999455679208648","-0.0430219968743995","-0.0400616124351147","-0.0845574653329426","-0.0432441633954542","0.120437160078072",NA,NA,NA,NA,NA,NA,NA
