"Reporter","Partner","Product.categories","Indicator.Type","Indicator","X2018","X2017","X2016","X2015","X2014","X2013","X2012","X2011","X2010","X2009","X2008","X2007","X2006","X2005","X2004","X2003","X2002","X2001","X2000","X1999","X1998","X1997","X1996","X1995","X1994","X1993","X1992","X1991","X1990","X1989","X1988"
"France","World","Capital goods","Export","Export(US$ Mil)","198587.96","188900.005847094","187434.4799513","187820.340190038","211353.00082158","215753.379606031","214246.357560477","223248.916460295","205468.517316915","180127.167983066","233070.143781613","217745.111173346","202097.772290812","183163.872049192","181002.896852966","161796.741812465","144266.349660086","147366.609287568","157163.163772038","157878.465684029","161145.100542044","146685.944568652","145916.853187299","146414.055208267","119763.178732638",NA,NA,NA,NA,NA,NA
"France","World","Chemicals","Export","Export(US$ Mil)","85610.6","80975.598467857","75983.2155475942","77576.0403195774","91457.423477326","94493.6807597225","92931.1342996604","96769.9232168703","91001.1758089148","88451.944642587","100459.69124525","88924.5813081114","85382.8376758058","80546.1947731559","79168.9633513304","71156.1897688256","60477.5675747653","55880.2127888502","54670.6225300841","56333.6753082847","55334.4091046383","53158.1054853004","53596.5835134685","54104.5007782177","44779.3781933639",NA,NA,NA,NA,NA,NA
"France","World","Consumer goods","Export","Export(US$ Mil)","217106.8","203014.296955443","187649.373295464","189363.192582074","219962.897657076","223358.695702358","224878.583982947","238577.269575053","213106.043497185","207428.733127376","258041.491695366","239594.609092636","219587.880652667","212737.631996342","207430.993093949","185155.238805812","157376.578316129","144627.473794744","142739.443262373","146723.616909002","149123.943085088","141266.900481647","142084.588646273","143241.071167202","123266.196886319",NA,NA,NA,NA,NA,NA
"France","World","Food Products","Export","Export(US$ Mil)","39421.8","38197.5669810363","34584.5404506438","34869.7957790364","39806.6920147318","40915.0248736785","40240.1234399464","41133.2444803795","35981.1518670645","34335.3265638855","39509.0510234497","36541.2582183854","33357.5546713609","30834.754056194","31103.9126963195","28983.8901358117","24353.7691259599","22043.3269256595","23136.2317615943","26383.7286914194","27653.5592015374","27503.5737594071","27941.1415500931","28915.3732089989","24525.4470380625",NA,NA,NA,NA,NA,NA
"France","World","Fuels","Export","Export(US$ Mil)","18728.23","15020.3985530403","11779.2804881022","15406.2899113544","23448.5791380961","24167.2679383035","27464.7456483416","29994.4788560858","21536.8138965156","19078.9978302265","35350.0115774902","24799.7702956936","25444.6968926701","22667.8022304091","15484.7984270492","12604.5227487415","10040.7785885717","10201.7618492298","11607.070009918","9214.09068208726","9232.30626972945","10421.3574571194","10951.3649064364","10289.6994746725","8851.69699883072",NA,NA,NA,NA,NA,NA
"France","World","Intermediate goods","Export","Export(US$ Mil)","109009.13","102930.173338165","95112.0634351425","100934.571009958","121635.715434516","122992.191700453","124019.37972536","136904.017031908","119390.834046633","107855.586568584","148067.166344706","137428.708173227","123399.872071938","114255.183606327","110978.340727593","96494.86286596","83950.0398459803","80539.6248299428","86293.8550553363","85910.5083655852","90628.3365689847","90603.4606875596","104965.956956595","101139.060561342","82866.9619912754",NA,NA,NA,NA,NA,NA
"France","World","Mach and Elec","Export","Export(US$ Mil)","111521.17","104149.919176426","99699.1652566543","100924.377344696","116848.941199597","118792.853144375","119722.649506408","128324.903727398","117035.626498025","109747.745326398","144211.426231028","138344.826947151","130638.616756525","119335.664767043","118096.741249766","104724.983191376","96172.3548948313","99930.7788844846","109003.227172611","111398.975909833","115214.247593857","104014.878862616","102326.857396096","99598.7506056782","81017.1384270482",NA,NA,NA,NA,NA,NA
"France","World","Metals","Export","Export(US$ Mil)","39598.7","37360.0711360614","30868.1183601951","33914.5248250425","41494.9434679763","41840.9314927474","43684.4319930545","50605.9212706111","44030.5318902299","37681.2954028036","59766.9858731437","57947.4207927133","50966.6183898881","42952.3999702546","40473.2448299388","33243.7332638466","28580.1003768831","27145.8223754423","29160.9010229042","29134.6683678678","32107.7747773397","31665.4742423762","32685.5161777951","35597.947998818","28745.3904254826",NA,NA,NA,NA,NA,NA
"France","World","Plastic or Rubber","Export","Export(US$ Mil)","29358.65","28736.5620957587","24860.4991963202","25590.690124116","30520.626443312","30829.8008621608","30575.474339558","33622.5463097716","29274.3783247949","26271.7408109701","35424.4847517678","34415.1615521857","31424.7787420192","29610.8971166733","28400.1835728755","23963.7874310243","19987.0535808585","19206.7240036005","21033.2752915828","21773.722361477","22863.3507310818","22317.4924812028","22966.1480930346","23929.4180856548","19499.3829771999",NA,NA,NA,NA,NA,NA
"France","World","Raw materials","Export","Export(US$ Mil)","30293.41","28303.9545891541","27664.9163140706","30350.4142352304","36300.9151252444","40056.12458318","38857.050267744","44480.8054871931","36171.1267435592","31324.8613123965","42071.0806833651","35920.0865756615","31028.4163996941","28814.6868271614","29162.7240078741","26205.8573616341","21767.2601303661","20274.6804324843","22781.4595621844","25176.036158153","26282.7963206361","27357.1030722361","29770.9674094626","31086.6303357654","27559.3172863657",NA,NA,NA,NA,NA,NA
"France","World","Stone and Glass","Export","Export(US$ Mil)","14512.52","13499.1017633816","12942.827686849","12717.948128447","13895.7426619042","13811.138840031","14515.8050393452","14849.9369164381","11402.6459890554","9808.56522666908","12674.9120519244","12135.4920477703","10942.4809172067","10052.826877884","10468.4577914144","9264.0203093686","8601.45075377131","8728.66354258705","8516.27478107025","8825.12243868824","9214.40133689526","9507.93945614799","10697.7793850389","10590.1021514986","9468.32056252692",NA,NA,NA,NA,NA,NA
"France","World","Textiles and Clothing","Export","Export(US$ Mil)","17487.31","16148.0237409202","15611.3798525599","15567.2358560588","17610.8685335118","17228.3637935249","16631.9754404345","18607.9907645885","17330.3637650889","17464.1460271565","21447.1952105241","21302.7415728735","19506.6772842084","19115.5358338318","19873.1231563967","18910.0790589992","16870.795105873","16113.1136202621","16851.6511468485","18366.543565926","19669.1782792453","18911.0426776288","19657.3277048876","20586.2612518375","18120.2467958232",NA,NA,NA,NA,NA,NA
"France","World","Transportation","Export","Export(US$ Mil)","113346.59","107966.785132004","107096.968054331","105877.295683167","114765.860701669","116053.091948488","116408.126044261","120224.702494396","112310.335097799","93846.4349520172","123016.220094918","118863.61018024","112073.563998614","109746.710987913","112455.436747762","100553.513994164","85765.2947192725","80522.5926288152","79703.0090189442","78393.9982284961","78830.2783940786","71630.686727517","72106.6947315764","73642.506858498","62944.2227090386",NA,NA,NA,NA,NA,NA
"France","World","Vegetable","Export","Export(US$ Mil)","18632.75","17109.0573423275","16992.6387372846","18535.5446504371","21292.9640012463","24499.0503284399","22055.1942485896","25820.4775615248","19792.6737922145","18380.8361065576","24213.50420108","18480.519939312","15768.1224540533","15428.1665395424","15782.9070782248","14971.9475775883","12497.2308809196","11430.3254212124","12493.9863458801","14667.0015046396","15366.6772655795","15879.6594313771","17717.8510006881","17590.0045794483","14891.5383934801",NA,NA,NA,NA,NA,NA
"France","World","Wood","Export","Export(US$ Mil)","12645.59","12232.8397599499","11551.4749631091","11771.330182233","13898.3023315618","14211.1012018589","14342.5739551672","16451.6411249083","15305.449261201","14896.766658278","18452.7285613231","18165.6896722256","16756.4132318424","16464.3264563922","16598.7147398334","15266.9247037633","13169.5747862345","13005.4229144293","14083.918139188","14357.1039721251","14724.1854099327","14336.0803003753","15200.3389210145","16900.7432234875","13360.6380093961",NA,NA,NA,NA,NA,NA
"France","World","All Products","Export","Exports (in US$ Mil)","568535.88","536134.533252597","510313.050002832","521228.918646111","604355.251931487","617235.978756272","617533.043196092","660101.677768724","588667.89687745","540196.054559483","697238.968092916","645312.02940919","588101.397688676","549410.334318095","539595.988213896","479683.356298992","415957.544941402","401343.378160102","418284.807341579","428619.663814452","441485.219052726","420868.346702022","428965.225688913","437041.905268891","366501.187001625",NA,NA,NA,NA,NA,NA
"France","World","Other Categories","Export","Export(US$ Mil)","67671.96","64738.6091038344","68342.9309708853","68477.8352894975","79314.3292911351","80393.6735729422","78960.7981835511","83695.944855288","73666.7621918075","70232.2782905873","82712.7338148992","75390.9688387142","55839.02439712","52655.0294110022","51689.5306587964","46039.7641154829","39441.5881962496","37134.6609226988","38024.6401209534","39771.003825281","41274.8506888111","41522.0409674209","43117.6374184492","45296.5970520811","40297.8021803263",NA,NA,NA,NA,NA,NA
