"setores","historico_estimativa","historico_inf","historico_sup","depois_estimativa","depois_inf","depois_sup","antes_estimativa","antes_inf","antes_sup","beta_estimativa","beta_inf","beta_sup"
"Capital goods",0.925907450207706,0.866303326538517,0.959515517651944,-0.00522218479597032,-0.527565557932251,0.519986567644023,0.889159673519626,0.769443725158899,0.948521801794477,0.997709549496389,0.99573919561269,0.998769300591209
"Chemicals",0.935562193453039,0.883254063014386,0.964870791017098,0.154808217134002,-0.401537455107747,0.627696933660614,0.849191012653888,0.693313964616308,0.929156210568875,0.988028809457946,0.977823073717385,0.993553213934389
"Consumer goods",0.932080643335336,0.877125737960774,0.962942455536721,-0.029945619109917,-0.545180826716739,0.501710188043392,0.873363048798255,0.738943228933514,0.940920715070009,0.996880998236972,0.99419995474854,0.998323783739878
"Food Products",0.934539946000547,0.881452818407799,0.964304923372562,0.217889156362747,-0.345306160258249,0.665700884778237,0.852155510691346,0.698843566781781,0.930607795109187,0.96638652042893,0.938302800629789,0.981806901296463
"Fuels",0.838112450747476,0.718214860216082,0.909676266951224,-0.475024224339321,-0.79980914580678,0.0649133834312602,0.786418078199013,0.580381685755331,0.897829054054437,0.9763741640716,0.956450210546868,0.987242381459459
"Intermediate goods",0.834090037944694,0.711680646056783,0.907342362506803,-0.454457694698004,-0.790156289535777,0.0909872196211673,0.709984446243701,0.452800060400443,0.858098556225803,0.983536834436038,0.969560214843284,0.991124918711018
"Mach and Elec",0.890398199514765,0.805119009899838,0.939608039920975,-0.343716268488769,-0.735150646535003,0.219606839095173,0.875344881149841,0.742739811370524,0.941878091016694,0.992733892227391,0.986512141671648,0.996091287902086
"Metals",0.789209902143631,0.640183825970826,0.880991881390068,-0.550628517301079,-0.833906513376287,-0.0377213772964908,0.681808049303663,0.40828327436065,0.84299087753097,0.96810743149935,0.941418681251115,0.982745261869617
"Plastic or Rubber",0.913482736929828,0.844689524500954,0.952587859302339,0.0476910222100089,-0.48829291928658,0.557549903918414,0.833962743978145,0.665195472939099,0.921660526892252,0.994986128793758,0.990683885058079,0.997304258295645
"Raw materials",0.827802320024989,0.70150880980807,0.903685002823556,-0.61221057558205,-0.860168759954606,-0.130163298765679,0.68142635878199,0.407689030222108,0.842784461338468,0.961356935020076,0.929222299765771,0.979060096871217
"Stone and Glass",0.841348657711266,0.723487316507533,0.911550719773898,-0.38786584657602,-0.757715626969591,0.170574253668361,0.71487464904809,0.46065907511988,0.860694738281287,0.954274257985719,0.916500581763435,0.97518107751635
"Textiles and Clothing",0.429349308609078,0.147173910932342,0.646898500404875,-0.403126171725657,-0.765314829579967,0.152957552277341,-0.0510867362077148,-0.421953955651375,0.334426895973045,0.689673246925821,0.490322036526598,0.820446014268107
"Transportation",0.951861401256411,0.912184050024815,0.973856673971144,0.380351857852866,-0.179119274967122,0.753936657073855,0.918375858932427,0.827331423797389,0.96240224665381,0.985543918750194,0.97324825876421,0.992210544989909
"Vegetable",0.864839687478078,0.76217574390984,0.92507012728309,-0.207993623884684,-0.659888953356378,0.354402965091841,0.641261439990095,0.346426933847794,0.820794939122882,0.921785922297365,0.859108768875995,0.957221972100659
"Wood",0.794508925694343,0.648493191433026,0.884133027756623,-0.817380633516102,-0.939105231837172,-0.513395850747222,0.860112526716037,0.713776745550686,0.934491833030681,0.949510679358931,0.907987126710178,0.972564936262156
"All Products",0.912535275217141,0.843050492528916,0.952057913196578,-0.182280710737727,-0.644529897768863,0.377553032105204,0.856348952130091,0.70669690623679,0.932656933453338,1,1,1
"Other Categories",0.892132430739848,0.808065611681224,0.940588094520828,-0.106710958858693,-0.597121998211036,0.441767513192836,0.808900896979541,0.619938794074236,0.909180361027737,0.982684841118431,0.967996580937605,0.990663771688469
