"Reporter","Partner","Product.categories","Indicator.Type","Indicator","X2018","X2017","X2016","X2015","X2014","X2013","X2012","X2011","X2010","X2009","X2008","X2007","X2006","X2005","X2004","X2003","X2002","X2001","X2000","X1999","X1998","X1997","X1996","X1995","X1994","X1993","X1992","X1991","X1990","X1989","X1988"
"Germany","World","Capital goods","Export","Export(US$ Mil)","621786.53","581836.547731527","540524.797431159","534142.118729375","607386.572719359","602895.592070955","596087.950558535","631458.103986167","549401.808792043","487745.466402635","656793.455019117","596619.090468356","541856.259699707","490541.267301825","460195.565459181","379089.486037237","332992.596285454","317279.431979492","302142.37386156","305041.163220677","310630.784960881","288279.815868339","297605.795142138","298613.954597457","243591.426277135","218589.459859508","258578.520408385","250310.288871481","251334.239786602","220691.770703461","213981.792855616"
"Germany","World","Chemicals","Export","Export(US$ Mil)","200393.29","182764.768482993","172322.771225752","174170.515885948","196703.542098418","193675.957118159","188450.87132777","194759.277493239","176362.518492938","167638.100772905","191949.587091268","169033.9988311","148706.927463561","131835.105069694","123811.946855093","100465.997282434","84032.5923594956","81373.897796325","75130.7389030991","79069.6973430994","80143.8306815515","77586.2255665688","79034.9600177248","81043.5616420208","69606.6413608762","61172.4337054308","68500.236608511","65841.2249533182","66445.4823615275","60383.3699136981","61891.2196556046"
"Germany","World","Consumer goods","Export","Export(US$ Mil)","544090.49","524755.74298724","498108.847075607","502452.398281455","560652.636044999","545086.669959175","535772.107071509","574191.321031318","502257.228331277","460878.886169664","576096.997369357","524298.577579064","458559.82457911","422268.160771162","388195.609103884","338332.522096263","290851.673232303","264496.543674796","241082.381914197","254410.859302035","260011.689123646","234508.185209771","241551.412948303","241763.978914397","212149.908110151","191230.999135681","226848.697919045","209522.176555628","220377.249337762","190961.826302713","187204.312643471"
"Germany","World","Food Products","Export","Export(US$ Mil)","46927.9","45072.9143318704","44045.4320859666","42807.8646197112","48918.0814626015","47749.3878441388","45774.4065280378","47385.6306255705","42387.0168022698","42593.1726767035","45474.7979493246","36335.9466071744","32030.0035601104","29688.3083828466","25973.6553228755","22873.3109869639","20100.6707239018","18256.2190837134","16137.3056392222","18070.8645717906","18893.9490339163","18068.7285382827","20270.7952467013","19489.6314636063","18020.9033719622","16038.8320579723","17705.6500842504","15964.7573636832","15056.782698327","12546.9546131178","12531.4909154111"
"Germany","World","Fuels","Export","Export(US$ Mil)","33282.78","26786.970353016","24087.4697899597","31414.7341921469","37747.7790644878","39559.7822135527","40832.2672263454","41809.6155095271","30689.571499962","28016.0801217642","45565.9015111811","36244.2665795268","34787.4744237434","26671.5331551333","22200.8774820289","15169.8312474838","11971.2604539562","11465.4569345229","10990.1629347045","8182.85571218832","8251.94142804079","8913.29312309831","10059.063591646","7707.02731125092","7530.08700628682","7218.18278632392","8668.11470738726","8458.85247776797","8817.22610614549","7546.07449319227","7362.90646456307"
"Germany","World","Intermediate goods","Export","Export(US$ Mil)","292976.22","277038.059148148","255577.903636665","261303.676668942","308621.247706795","311686.29457851","315875.890571298","342929.048765084","295243.853543041","261890.4572379","338521.66048213","321232.409674344","286175.771974351","245214.023500298","227887.86453491","191385.426806167","166447.9549215","159490.986510793","160313.625878175","161680.37542998","171663.036804482","171487.586439829","176919.802308772","189973.781958626","158373.085244556","140510.496928661","166189.124305867","163302.328481676","170648.984675374","159647.499936053","160942.34279425"
"Germany","World","Mach and Elec","Export","Export(US$ Mil)","430270.64","400953.035968627","367795.840520196","366927.766350064","424310.199944023","421313.15795195","419839.454242399","458259.809714252","404810.425403705","366048.846649985","488080.026065111","447338.526827417","409084.254925078","374236.56982796","349403.673067628","285935.741736873","250537.451352038","239419.600180836","232704.843598813","238104.251822326","245619.104832388","232745.189691903","242859.577595359","242548.020053663","198853.174124832","178263.113268428","205575.162248383","200810.350400674","203926.579310834","176681.759105196","173174.91521389"
"Germany","World","Metals","Export","Export(US$ Mil)","117569.93","109889.0981811","99241.8423249738","103669.82897895","123890.549766468","124276.744096656","127273.793129191","143587.080311178","120268.696997906","103923.822064385","157137.377384592","143196.670789023","122452.133419558","99951.668685946","88077.8548302507","69759.0833765509","61062.4612054756","57776.56614402","56582.3985641741","57617.8467822016","63703.6799859027","63401.279962671","63739.8834920412","70653.004784302","56234.1745092652","50056.1196695904","60042.9965221179","59471.3581770621","63872.3629837453","61311.8957955144","58366.9584202697"
"Germany","World","Plastic or Rubber","Export","Export(US$ Mil)","83926.93","82558.9202256084","74494.6613461813","73602.4841750526","86548.3503592254","85644.5094291286","83519.1774458974","90984.3453294493","79313.9126629598","70607.4836208341","82303.623934848","85836.513897979","76092.054771165","69419.6154485092","63690.3081328349","53253.8119352625","45267.0179786808","41985.4706078931","41751.957574563","42723.0011635757","43497.9559384043","42648.547750276","43604.0931094098","45428.3501826722","37504.1218356971","32621.8420125851","38837.4255824844","37246.8168119816","38548.701632046","34296.3797716009","35394.1030861585"
"Germany","World","Raw materials","Export","Export(US$ Mil)","38142.6","38430.4756019321","36489.0192739809","37638.3783804287","46411.1196693767","47724.676136197","48179.7487714824","53029.3324318474","45144.8739846399","38711.3408833485","50098.7493797783","40408.1156599323","34979.2468121438","29991.7934333853","25881.6376236261","21603.0194441931","19940.0951026698","18732.7049577337","17454.4239843371","18658.2987068019","19428.0712468636","19475.2689754563","20937.2070575359","22191.7476948521","18774.870318773","16499.2421450081","20919.2748481506","20873.7469310213","19796.5310436891","18552.1402612995","16906.972418411"
"Germany","World","Stone and Glass","Export","Export(US$ Mil)","30583.84","28256.5779619983","28145.2035123835","27389.0383995245","32385.1538136426","34910.4384570043","37785.0765033204","41421.1439456988","33471.8888681017","26840.2869943229","33729.6043138582","28638.9969933837","25337.9943428886","20849.5861428135","19466.9670749474","16587.4573217865","15228.2442928336","14398.1552858896","14090.5037309136","14407.404585495","14554.8743674554","13577.9708386048","14665.8496024234","15509.8345171567","13590.0829886676","12446.5872842482","14395.2191036557","14671.8349209849","15075.4868840823","13718.4942541305","13937.0163548469"
"Germany","World","Textiles and Clothing","Export","Export(US$ Mil)","39706.73","36428.4059216932","33103.2930613412","32949.5245135207","38816.4624771124","37845.8937762931","37307.4801956012","42643.2797680438","37447.3708766098","36056.9226306263","42202.8102413944","38799.9011530387","36027.3160636282","34108.1122143528","33564.5220587418","30997.3236615808","27914.4550807461","26674.1592890481","26400.0226956634","30020.8800379646","32974.4234664424","32137.356126641","33890.844439305","35453.1318753655","31830.2833557436","30452.5108497773","38015.7060335837","36122.7058761588","36830.9904895243","31398.0335082092","31060.3746834135"
