"setores","historico_estimativa","historico_inf","historico_sup","depois_estimativa","depois_inf","depois_sup","antes_estimativa","antes_inf","antes_sup","beta_estimativa","beta_inf","beta_sup"
"Capital goods",0.427118679170569,0.144500452491317,0.645307231560855,-0.618596352142008,-0.862818809683393,-0.14025393400372,0.675670209240687,0.398755456008322,0.839665800957765,0.898126188985308,0.818281997374496,0.943969101658648
"Chemicals",0.889035172458872,0.802806065293985,0.938837194651286,-0.410483706611496,-0.768942945824436,0.144335742645837,0.93783591782023,0.866992491719221,0.971521766974907,0.941949242502698,0.894543387578519,0.968400211502162
"Consumer goods",0.694836038134642,0.497815660180767,0.823660241930684,-0.439988260205726,-0.783263806214284,0.108893826024,0.741664776936185,0.504432493760537,0.874784160415848,0.912395398296616,0.842808626077842,0.951979655392145
"Food Products",0.839081038555301,0.719791449442872,0.910237591387115,0.770389881353638,0.413431054984622,0.922093398684937,0.326878506782415,-0.059535792207057,0.628095723207228,0.592184868418042,0.354145773323352,0.758159578703253
"Fuels",0.790503037693503,0.642208372334073,0.881759171171476,-0.599232931434367,-0.854741560421857,-0.109959499880058,0.58159051658082,0.259831077798142,0.787113316388626,0.821136629898992,0.69078141467462,0.89979566110175
"Intermediate goods",0.808320524066346,0.670315862874467,0.892282343831767,-0.642583650931252,-0.872654873061715,-0.179066975735518,0.820044228859686,0.639907381195486,0.914751791696549,0.949758800266216,0.908429722938604,0.972701347534269
"Mach and Elec",0.125375465195575,-0.182733785566081,0.41106057582388,-0.707898846796901,-0.898523657256707,-0.292607837319933,0.634592533041408,0.33649284883135,0.81709159409091,0.722854531380629,0.539003176507543,0.840960703147171
"Metals",0.723467734596772,0.539914532460863,0.841336654048049,-0.726801341857507,-0.905771003422843,-0.327807528629636,0.652844419955693,0.363839699016977,0.827191471440639,0.930637800645995,0.874591238984743,0.96214237856452
"Plastic or Rubber",0.865090551270948,0.762592898510802,0.925213683765989,-0.548253620028426,-0.832867357124728,-0.0343239151983503,0.900273808465967,0.791235434887223,0.95382907681287,0.93472094195535,0.881771628694981,0.964405133947981
"Raw materials",0.905728686864661,0.831313464907646,0.948243781246478,-0.324826446071037,-0.725223565970583,0.239751170551219,0.855299786824258,0.704728598866324,0.932144716948724,0.86467319157492,0.761898929447766,0.924974840714016
"Stone and Glass",0.854402729509978,0.744895642203823,0.919082299734719,-0.243040514623918,-0.680232451751068,0.321698566788277,0.828849674020284,0.655860496092842,0.919128997396216,0.851365369789714,0.739894242219209,0.91733409542449
"Textiles and Clothing",-0.893795535733226,-0.941527196263872,-0.810895321008904,-0.733307576495556,-0.908241552235569,-0.340185057258485,-0.832837234306382,-0.921103916528352,-0.663136081551708,-0.426719700419438,-0.645022411483804,-0.144022702295841
"Transportation",0.697780894738807,0.502103239958329,0.825489937977002,-0.536146584548532,-0.827538448446347,-0.0171866079030339,0.772394005228524,0.556189982288166,0.890672677850122,0.947963053593361,0.905228573359594,0.971713728563901
"Vegetable",0.334180420518499,0.0366623098214417,0.577280955128741,0.91241338133947,0.744367377464423,0.971777751231321,-0.0657647840959711,-0.433984556696247,0.321281771052392,0.0121574467550106,-0.290113391404827,0.312222575257043
"Wood",0.77932771294974,0.624780222818759,0.875112239520062,0.324368119304436,-0.240233968570973,0.724980617156769,0.223633447007887,-0.169797373745783,0.555577475567777,0.734218526366635,0.555962814441639,0.847909419048908
"All Products",0.71585703972147,0.528633746553319,0.836662496302786,-0.59940414527524,-0.854813526900639,-0.110223442052534,0.821142882282939,0.64188940576335,0.915299151359969,1,1,1
"Other Categories",0.943619523488339,0.89750567567297,0.969321448093739,0.366356460562986,-0.194813160176406,0.746831494848,0.931893662437349,0.854785785692088,0.968747606042419,0.874253995842921,0.777889196685878,0.930445683004804
