"Reporter","Partner","Product.categories","Indicator.Type","Indicator","X2018","X2017","X2016","X2015","X2014","X2013","X2012","X2011","X2010","X2009","X2008","X2007","X2006","X2005","X2004","X2003","X2002","X2001","X2000","X1999","X1998","X1997","X1996","X1995","X1994","X1993","X1992","X1991","X1990","X1989","X1988"
"United States","World","Capital goods","Export","Export(US$ Mil)","540285.3","531189.878211619","520362.870694245","546362.497805586","571762.690218547","564901.840995517","573683.009982774","555333.984941818","512902.851129707","431861.020852187","613367.044660313","604246.730076895","577699.611776921","464723.155409553","447454.733519457","454346.451216237","457823.40209181","504468.477766081","571389.660403623","512865.039440037","503336.05428689","500809.451362404","440124.756461303","410396.277075122","373241.035086766","339119.160181343","331230.699112581","316293.077619051",NA,NA,NA
"United States","World","Chemicals","Export","Export(US$ Mil)","170946.35","163359.045910075","159805.972438145","170109.015635524","174726.303740666","176993.576451464","178974.801501578","180574.948903789","171181.158530197","149813.112344448","165758.544503733","143429.888136349","130226.870880099","119584.278890676","114523.25900701","98197.5678647284","88217.5177471699","88067.7191425147","90412.3708200078","84035.6594240736","81592.4264083004","84129.0582399228","76001.7701534016","75570.4445870199","66171.8314846154","60074.2106064793","60457.5189681534","59811.3330279077",NA,NA,NA
"United States","World","Consumer goods","Export","Export(US$ Mil)","431527.79","410480.429593493","386672.864347515","409823.110767939","471712.754328816","464289.936910612","447133.976521033","423760.120083206","354410.431225388","294158.057442487","361813.128145359","312743.075846635","284336.365380079","255196.459251343","228931.988259646","210318.932055679","202544.727006189","207042.148059347","220167.165746538","194753.882991306","192789.69717993","195830.209586167","182635.758667803","172191.309796488","163466.08515758","149460.57637079","144717.738671462","131205.0941718",NA,NA,NA
"United States","World","Food Products","Export","Export(US$ Mil)","46788.09","45169.82898474","45677.5442687408","47556.5825270276","49034.9730436315","48346.7178575228","44732.465677225","42647.9905633348","36705.1434521653","32237.1517263666","33338.5087323409","29060.7992489109","26427.9539521977","24358.5806535119","23848.0008200454","23806.5011215899","23356.2902839243","25944.5602161705","26706.5288808782","26335.6723483639","29055.1820199978","30919.782334046","29752.4882881691","28311.5982939542","28404.5218368742","25585.7952489831","26182.599614151","24739.0751900048",NA,NA,NA
"United States","World","Fuels","Export","Export(US$ Mil)","192681.24","142470.22491348","98125.7789666408","109857.193849247","165960.714998246","161780.662174963","151859.205060623","147146.615836241","93988.8160722776","63942.6422951761","89967.5351551361","50234.533584132","42897.4206884131","33757.9653728152","24850.7394052036","18972.1872610641","16002.172401691","17693.8099818725","19015.1100853583","14430.6002051318","14847.1551373223","18804.1269483664","18506.9835172839","16117.2713783746","14131.2093203784","15774.9498199783","18429.0359345849","20677.4693266494",NA,NA,NA
"United States","World","Intermediate goods","Export","Export(US$ Mil)","324103.85","309223.199226265","296678.826140121","314861.415559825","343615.163509003","357955.696712627","362713.833782359","369749.770166934","318206.537497317","256105.060146725","345417.383841759","303218.145086907","272245.447780199","227082.217894053","209801.50206425","196250.520189734","183517.279886351","193062.466610114","205331.187194852","190757.069227919","194727.057914875","201422.846911279","185938.55029929","186536.029977445","159327.121427023","151648.198148988","147208.207528535","149903.82856016",NA,NA,NA
"United States","World","Mach and Elec","Export","Export(US$ Mil)","376388.94","371788.578419991","363688.691871301","387535.31592317","409686.551223241","405033.510748897","410812.130992112","411487.574222887","384888.489999485","323467.033955982","428278.137488557","414586.996700245","402533.447643771","353979.989400954","339772.282874007","326556.126567117","328513.123092988","370432.704830436","435903.092178098","374897.189777425","359292.088757535","373771.225285286","332479.719768459","315136.794207672","273911.984918524","242061.918899815","227637.502697288","217307.546883715",NA,NA,NA
"United States","World","Metals","Export","Export(US$ Mil)","73519.91","70144.1542173801","66521.5097246363","72473.625443037","84166.3324411617","86468.3525649129","90653.9848277513","91998.8680636352","77587.9623769568","61917.1899698604","87766.1667637852","75820.1600166574","67464.6545465778","56185.577646792","47922.5177822402","40504.1378848655","37786.104019665","39284.0720423853","45062.513291165","38680.0133483649","40029.8189195265","41943.3168653565","38812.1834730492","39749.6256204788","31431.8885783024","28305.0963366381","28855.7585880026","31493.433733538",NA,NA,NA
"United States","World","Plastic or Rubber","Export","Export(US$ Mil)","81008.39","77672.2541762688","74795.9107711858","78452.0412803494","83563.348926865","82725.9415303066","83005.2563512815","83391.4336381531","76021.9467298923","61306.323195219","73885.9269102812","70188.6772542253","64282.2273654222","59153.9455353476","53995.3729029631","47637.1383182544","45898.9110159454","46021.2291842838","49535.4613537381","43377.7778871832","42337.9395516008","43101.2982842643","38741.0169470538","36987.087277376","32367.011180389","28380.0236821377","27684.7548510762","27000.2993610156",NA,NA,NA
"United States","World","Raw materials","Export","Export(US$ Mil)","189985.11","161920.17932987","142660.7779023","143987.600665948","173704.856898514","167343.676234335","175597.525173179","185680.819887885","155528.998216236","124843.591025764","159766.937207892","124302.694011411","98728.4525231228","85816.0805580027","82427.0550929452","76877.0288996268","68352.9764074893","70251.3161165615","72449.2417406365","66878.256307746","71976.1114724371","84651.4866963854","95111.5386787669","94042.9781941976","76259.0219912326","73584.2367316397","79498.9273125168","78832.8570574872",NA,NA,NA
