"","data_id","relationship_id","relationship_indicator_id","data_time","data_value"
"1",0,0,0,NA,0
"2",2,2,2,2018-03-22,87726.22
"3",3,2,3,2018-03-22,57699.42
"4",4,3,3,2018-03-22,11623.56
"5",5,4,2,2018-03-22,NA
"6",6,5,2,2018-03-22,12369.31
"7",7,6,2,2018-03-22,41355.76
"8",8,6,3,2018-03-22,17351.1
"9",9,7,2,2018-03-22,17745.6
"10",10,7,3,2018-03-22,NA
"11",11,8,2,2018-03-22,NA
"12",12,8,3,2018-03-22,NA
"13",13,9,2,2018-03-22,NA
"14",14,9,3,2018-03-22,NA
"15",15,10,2,2018-03-22,NA
"16",16,11,3,2018-03-22,11523.93
"17",17,12,3,2018-03-22,NA
"18",18,13,2,2018-03-22,9552.81
"19",19,13,3,2018-03-22,24664.66
"20",20,14,2,2018-03-22,NA
"21",21,14,3,2018-03-22,NA
"22",22,15,4,2018-03-22,162586108.88
"23",23,15,5,2018-03-22,14633.05
"24",24,15,6,2018-03-22,11619.8
"25",25,15,7,2018-03-22,8534.01
"26",26,15,8,2018-03-22,18032.47
"27",27,15,9,2018-03-22,6154.5
"28",28,15,10,2018-03-22,81.16
"29",29,15,11,2018-03-22,58315.13
"30",30,15,12,2018-03-22,766.11
"31",31,15,13,2018-03-22,35750.43
"32",32,15,14,2018-03-22,7910.41
"33",33,15,15,2018-03-22,11377.33
"34",34,15,16,2018-03-22,57961.77
"35",35,15,17,2018-03-22,49585.54
"36",36,15,18,2018-03-22,1104.74
"37",37,15,19,2018-03-22,141805.73
"38",38,15,20,2018-03-22,15579.31
"39",39,15,21,2018-03-22,4366.02
"40",40,15,22,2018-03-22,3553.92
"41",41,15,23,2018-03-22,9861.59
"42",42,15,24,2018-03-22,2990.93
"43",43,15,25,2018-03-22,252775.52
"44",44,15,26,2018-03-22,75100.83
"45",45,15,27,2018-03-22,104734.56
"46",46,15,28,2018-03-22,32691.82
"47",47,15,29,2018-03-22,15627.44
"48",48,15,30,2018-03-22,235519.14
"49",49,2,31,2018-03-22,34.71
"50",50,2,32,2018-03-22,24.5
"51",51,3,32,2018-03-22,4.94
"52",52,4,31,2018-03-22,NA
"53",53,5,31,2018-03-22,4.89
"54",54,6,31,2018-03-22,16.36
"55",55,6,32,2018-03-22,7.37
"56",56,7,31,2018-03-22,7.02
"57",57,7,32,2018-03-22,NA
"58",58,8,31,2018-03-22,NA
"59",59,8,32,2018-03-22,NA
"60",60,9,31,2018-03-22,NA
"61",61,9,32,2018-03-22,NA
"62",62,10,31,2018-03-22,NA
"63",63,11,32,2018-03-22,4.89
"64",64,12,32,2018-03-22,NA
"65",65,13,31,2018-03-22,3.78
"66",66,13,32,2018-03-22,10.47
"67",67,14,31,2018-03-22,NA
"68",68,14,32,2018-03-22,NA
"69",69,15,33,2018-03-22,3.19
"70",70,15,34,2018-03-22,54.05
"71",71,15,35,2018-03-22,5.79
"72",72,15,36,2018-03-22,4.6
"73",73,15,37,2018-03-22,3.38
"74",74,15,38,2018-03-22,7.13
"75",75,15,39,2018-03-22,2.43
"76",76,15,40,2018-03-22,0.03
"77",77,15,41,2018-03-22,23.07
"78",78,15,42,2018-03-22,0.3
"79",79,15,43,2018-03-22,14.14
"80",80,15,44,2018-03-22,3.13
"81",81,15,45,2018-03-22,4.5
"82",82,15,46,2018-03-22,22.93
"83",83,15,47,2018-03-22,19.62
"84",84,15,48,2018-03-22,0.44
"85",85,15,49,2018-03-22,56.1
"86",86,15,50,2018-03-22,6.16
"87",87,15,51,2018-03-22,1.73
"88",88,15,52,2018-03-22,1.41
"89",89,15,53,2018-03-22,3.9
"90",90,15,54,2018-03-22,1.18
"91",91,15,55,2018-03-22,31.89
"92",92,15,56,2018-03-22,44.47
"93",93,15,57,2018-03-22,13.88
"94",94,15,58,2018-03-22,6.64
"95",95,15,59,2018-03-22,26.81
"96",96,15,60,2018-03-22,2.22
"97",97,15,61,2018-03-22,0.86
"98",98,15,62,2018-03-22,0.85
"99",99,15,63,2018-03-22,1.12
"100",100,15,64,2018-03-22,0.62
"101",101,15,65,2018-03-22,0.06
"102",102,15,66,2018-03-22,3.5
"103",103,2,2,2017-03-22,68095.68
"104",104,2,3,2017-03-22,49970.97
"105",105,3,3,2017-03-22,NA
"106",106,4,2,2017-03-22,NA
"107",107,5,2,2017-03-22,10757.14
"108",108,6,2,2017-03-22,24008.42
"109",109,6,3,2017-03-22,16510.87
"110",110,7,2,2017-03-22,13145.75
"111",111,7,3,2017-03-22,15899.13
"112",112,8,2,2017-03-22,NA
"113",113,8,3,2017-03-22,NA
"114",114,9,2,2017-03-22,NA
"115",115,9,3,2017-03-22,NA
"116",116,10,2,2017-03-22,NA
"117",117,11,3,2017-03-22,NA
"118",118,12,3,2017-03-22,NA
"119",119,13,2,2017-03-22,NA
"120",120,13,3,2017-03-22,23613.22
"121",121,14,2,2017-03-22,34610.96
"122",122,14,3,2017-03-22,15085.4
"123",123,15,4,2017-03-22,149028380.4
"124",124,15,5,2017-03-22,13328.34
"125",125,15,6,2017-03-22,10847.05
"126",126,15,7,2017-03-22,11397.58
"127",127,15,8,2017-03-22,37468.54
"128",128,15,9,2017-03-22,6101.99
"129",129,15,10,2017-03-22,101.82
"130",130,15,11,2017-03-22,69396.61
"131",131,15,12,2017-03-22,830.78
"132",132,15,13,2017-03-22,38576.6
"133",133,15,14,2017-03-22,7652.53
"134",134,15,15,2017-03-22,10231.29
"135",135,15,16,2017-03-22,60672.13
"136",136,15,17,2017-03-22,9419.95
"137",137,15,18,2017-03-22,1131.67
"138",138,15,19,2017-03-22,134900.17
"139",139,15,20,2017-03-22,14991.68
"140",140,15,21,2017-03-22,4878
"141",141,15,22,2017-03-22,3586.91
"142",142,15,23,2017-03-22,13598.01
"143",143,15,24,2017-03-22,2843.91
"144",144,15,25,2017-03-22,230163.21
"145",145,15,26,2017-03-22,73723.11
"146",146,15,27,2017-03-22,97896.6
"147",147,15,28,2017-03-22,32506.48
"148",148,15,29,2017-03-22,12862.48
"149",149,15,30,2017-03-22,228441.74
"150",150,2,31,2017-03-22,29.59
"151",151,2,32,2017-03-22,21.87
"152",152,3,32,2017-03-22,NA
"153",153,4,31,2017-03-22,NA
"154",154,5,31,2017-03-22,4.67
"155",155,6,31,2017-03-22,10.43
"156",156,6,32,2017-03-22,7.23
"157",157,7,31,2017-03-22,5.71
"158",158,7,32,2017-03-22,6.96
"159",159,8,31,2017-03-22,NA
"160",160,8,32,2017-03-22,NA
"161",161,9,31,2017-03-22,NA
"162",162,9,32,2017-03-22,NA
"163",163,10,31,2017-03-22,NA
"164",164,11,32,2017-03-22,NA
"165",165,12,32,2017-03-22,NA
"166",166,13,31,2017-03-22,NA
"167",167,13,32,2017-03-22,10.34
"168",168,14,31,2017-03-22,15.04
"169",169,14,32,2017-03-22,6.6
"170",170,15,33,2017-03-22,13.46
"171",171,15,34,2017-03-22,53.4
"172",172,15,35,2017-03-22,5.79
"173",173,15,36,2017-03-22,4.71
"174",174,15,37,2017-03-22,4.95
"175",175,15,38,2017-03-22,16.28
"176",176,15,39,2017-03-22,2.65
"177",177,15,40,2017-03-22,0.04
"178",178,15,41,2017-03-22,30.15
"179",179,15,42,2017-03-22,0.36
"180",180,15,43,2017-03-22,16.76
"181",181,15,44,2017-03-22,3.32
"182",182,15,45,2017-03-22,4.45
"183",183,15,46,2017-03-22,26.36
"184",184,15,47,2017-03-22,4.09
"185",185,15,48,2017-03-22,0.49
"186",186,15,49,2017-03-22,58.61
"187",187,15,50,2017-03-22,6.51
"188",188,15,51,2017-03-22,2.12
"189",189,15,52,2017-03-22,1.56
"190",190,15,53,2017-03-22,5.91
"191",191,15,54,2017-03-22,1.24
"192",192,15,55,2017-03-22,32.27
"193",193,15,56,2017-03-22,42.85
"194",194,15,57,2017-03-22,14.23
"195",195,15,58,2017-03-22,5.63
"196",196,15,59,2017-03-22,27.82
"197",197,15,60,2017-03-22,2.23
"198",198,15,61,2017-03-22,0.89
"199",199,15,62,2017-03-22,0.76
"200",200,15,63,2017-03-22,1.17
"201",201,15,64,2017-03-22,0.86
"202",202,15,65,2017-03-22,0.07
"203",203,15,66,2017-03-22,5.68
"204",204,2,2,2016-03-22,59992.75
"205",205,2,3,2016-03-22,44241.02
"206",206,3,3,2016-03-22,10079.66
"207",207,4,2,2016-03-22,NA
"208",208,5,2,2016-03-22,7919.03
"209",209,6,2,2016-03-22,26344.51
"210",210,6,3,2016-03-22,14593.66
"211",211,7,2,2016-03-22,12770.22
"212",212,7,3,2016-03-22,NA
"213",213,8,2,2016-03-22,NA
"214",214,8,3,2016-03-22,NA
"215",215,9,2,2016-03-22,NA
"216",216,9,3,2016-03-22,NA
"217",217,10,2,2016-03-22,NA
"218",218,11,3,2016-03-22,10872.75
"219",219,12,3,2016-03-22,NA
"220",220,13,2,2016-03-22,8761.92
"221",221,13,3,2016-03-22,21703.31
"222",222,14,2,2016-03-22,NA
"223",223,14,3,2016-03-22,NA
"224",224,15,4,2016-03-22,132817022.1
"225",225,15,5,2016-03-22,12458.92
"226",226,15,6,2016-03-22,10846.21
"227",227,15,7,2016-03-22,9581.54
"228",228,15,8,2016-03-22,29649.49
"229",229,15,9,2016-03-22,5165.22
"230",230,15,10,2016-03-22,80.87
"231",231,15,11,2016-03-22,48540
"232",232,15,12,2016-03-22,831.35
"233",233,15,13,2016-03-22,34778.32
"234",234,15,14,2016-03-22,7509.92
"235",235,15,15,2016-03-22,8761.56
"236",236,15,16,2016-03-22,48107.21
"237",237,15,17,2016-03-22,10973.86
"238",238,15,18,2016-03-22,1027.44
"239",239,15,19,2016-03-22,107027.96
"240",240,15,20,2016-03-22,15282.33
"241",241,15,21,2016-03-22,3886.57
"242",242,15,22,2016-03-22,4052.79
"243",243,15,23,2016-03-22,10818.03
"244",244,15,24,2016-03-22,2552.36
"245",245,15,25,2016-03-22,189629.97
"246",246,15,26,2016-03-22,60357.87
"247",247,15,27,2016-03-22,86609.18
"248",248,15,28,2016-03-22,29213.38
"249",249,15,29,2016-03-22,11270.93
"250",250,15,30,2016-03-22,189406.03
"251",251,2,31,2016-03-22,31.64
"252",252,2,32,2016-03-22,23.36
"253",253,3,32,2016-03-22,5.32
"254",254,4,31,2016-03-22,NA
"255",255,5,31,2016-03-22,4.18
"256",256,6,31,2016-03-22,13.89
"257",257,6,32,2016-03-22,7.71
"258",258,7,31,2016-03-22,6.73
"259",259,7,32,2016-03-22,NA
"260",260,8,31,2016-03-22,NA
"261",261,8,32,2016-03-22,NA
"262",262,9,31,2016-03-22,NA
"263",263,9,32,2016-03-22,NA
"264",264,10,31,2016-03-22,NA
"265",265,11,32,2016-03-22,5.74
"266",266,12,32,2016-03-22,NA
"267",267,13,31,2016-03-22,4.62
"268",268,13,32,2016-03-22,11.46
"269",269,14,31,2016-03-22,NA
"270",270,14,32,2016-03-22,NA
"271",271,15,33,2016-03-22,-2.11
"272",272,15,34,2016-03-22,53
"273",273,15,35,2016-03-22,6.57
"274",274,15,36,2016-03-22,5.72
"275",275,15,37,2016-03-22,5.05
"276",276,15,38,2016-03-22,15.64
"277",277,15,39,2016-03-22,2.72
"278",278,15,40,2016-03-22,0.04
"279",279,15,41,2016-03-22,25.6
"280",280,15,42,2016-03-22,0.44
"281",281,15,43,2016-03-22,18.34
"282",282,15,44,2016-03-22,3.96
"283",283,15,45,2016-03-22,4.62
"284",284,15,46,2016-03-22,25.37
"285",285,15,47,2016-03-22,5.79
"286",286,15,48,2016-03-22,0.54
"287",287,15,49,2016-03-22,56.44
"288",288,15,50,2016-03-22,8.06
"289",289,15,51,2016-03-22,2.05
"290",290,15,52,2016-03-22,2.14
"291",291,15,53,2016-03-22,5.7
"292",292,15,54,2016-03-22,1.35
"293",293,15,55,2016-03-22,31.87
"294",294,15,56,2016-03-22,45.73
"295",295,15,57,2016-03-22,15.42
"296",296,15,58,2016-03-22,5.95
"297",297,15,59,2016-03-22,27.61
"298",298,15,60,2016-03-22,2.3
"299",299,15,61,2016-03-22,1.18
"300",300,15,62,2016-03-22,1.01
"301",301,15,63,2016-03-22,1.57
"302",302,15,64,2016-03-22,0.97
"303",303,15,65,2016-03-22,0.07
"304",304,15,66,2016-03-22,-1.24
"305",305,2,2,2015-03-22,61012.46
"306",306,2,3,2015-03-22,46292.72
"307",307,3,3,2015-03-22,NA
"308",308,4,2,2015-03-22,NA
"309",309,5,2,2015-03-22,7946.61
"310",310,6,2,2015-03-22,29826.96
"311",311,6,3,2015-03-22,14793.1
"312",312,7,2,2015-03-22,13299.33
"313",313,7,3,2015-03-22,10895.84
"314",314,8,2,2015-03-22,NA
"315",315,8,3,2015-03-22,NA
"316",316,9,2,2015-03-22,NA
"317",317,9,3,2015-03-22,NA
"318",318,10,2,2015-03-22,NA
"319",319,11,3,2015-03-22,10197.01
"320",320,12,3,2015-03-22,NA
"321",321,13,2,2015-03-22,9977.45
"322",322,13,3,2015-03-22,22560.99
"323",323,14,2,2015-03-22,NA
"324",324,14,3,2015-03-22,NA
"325",325,15,4,2015-03-22,111340406.6
"326",326,15,5,2015-03-22,14281.1
"327",327,15,6,2015-03-22,11127.44
"328",328,15,7,2015-03-22,9610.96
"329",329,15,8,2015-03-22,27765.37
"330",330,15,9,2015-03-22,4491.13
"331",331,15,10,2015-03-22,72.7
"332",332,15,11,2015-03-22,47494.44
"333",333,15,12,2015-03-22,1027.2
"334",334,15,13,2015-03-22,33764.98
"335",335,15,14,2015-03-22,7765.03
"336",336,15,15,2015-03-22,9964.43
"337",337,15,16,2015-03-22,46714.28
"338",338,15,17,2015-03-22,10664.91
"339",339,15,18,2015-03-22,1007.81
"340",340,15,19,2015-03-22,108038.99
"341",341,15,20,2015-03-22,12294.1
"342",342,15,21,2015-03-22,3442.37
"343",343,15,22,2015-03-22,4329.53
"344",344,15,23,2015-03-22,12226.52
"345",345,15,24,2015-03-22,2405.65
"346",346,15,25,2015-03-22,187792.15
"347",347,15,26,2015-03-22,63236.59
"348",348,15,27,2015-03-22,89289.78
"349",349,15,28,2015-03-22,30547.17
"350",350,15,29,2015-03-22,11586.98
"351",351,15,30,2015-03-22,200113.78
"352",352,2,31,2015-03-22,32.49
"353",353,2,32,2015-03-22,23.13
"354",354,3,32,2015-03-22,NA
"355",355,4,31,2015-03-22,NA
"356",356,5,31,2015-03-22,4.23
"357",357,6,31,2015-03-22,15.88
"358",358,6,32,2015-03-22,7.39
"359",359,7,31,2015-03-22,7.08
"360",360,7,32,2015-03-22,5.44
"361",361,8,31,2015-03-22,NA
"362",362,8,32,2015-03-22,NA
"363",363,9,31,2015-03-22,NA
"364",364,9,32,2015-03-22,NA
"365",365,10,31,2015-03-22,NA
"366",366,11,32,2015-03-22,5.1
"367",367,12,32,2015-03-22,NA
"368",368,13,31,2015-03-22,5.31
"369",369,13,32,2015-03-22,11.27
"370",370,14,31,2015-03-22,NA
"371",371,14,32,2015-03-22,NA
"372",372,15,33,2015-03-22,-11.36
"373",373,15,34,2015-03-22,49.56
"374",374,15,35,2015-03-22,7.6
"375",375,15,36,2015-03-22,5.93
"376",376,15,37,2015-03-22,5.12
"377",377,15,38,2015-03-22,14.79
"378",378,15,39,2015-03-22,2.39
"379",379,15,40,2015-03-22,0.04
"380",380,15,41,2015-03-22,25.29
"381",381,15,42,2015-03-22,0.55
"382",382,15,43,2015-03-22,17.98
"383",383,15,44,2015-03-22,4.13
"384",384,15,45,2015-03-22,5.31
"385",385,15,46,2015-03-22,24.88
"386",386,15,47,2015-03-22,5.68
"387",387,15,48,2015-03-22,0.54
"388",388,15,49,2015-03-22,57.53
"389",389,15,50,2015-03-22,6.55
"390",390,15,51,2015-03-22,1.83
"391",391,15,52,2015-03-22,2.31
"392",392,15,53,2015-03-22,6.51
"393",393,15,54,2015-03-22,1.28
"394",394,15,55,2015-03-22,31.6
"395",395,15,56,2015-03-22,44.62
"396",396,15,57,2015-03-22,15.26
"397",397,15,58,2015-03-22,5.79
"398",398,15,59,2015-03-22,28.08
"399",399,15,60,2015-03-22,2.5
"400",400,15,61,2015-03-22,1.9
"401",401,15,62,2015-03-22,1.53
"402",402,15,63,2015-03-22,2.53
"403",403,15,64,2015-03-22,1.82
"404",404,15,65,2015-03-22,0.1
"405",405,15,66,2015-03-22,-6.61
"406",406,2,2,2014-03-22,81413.61
"407",407,2,3,2014-03-22,46854.59
"408",408,3,3,2014-03-22,10706.49
"409",409,4,2,2014-03-22,NA
"410",410,5,2,2014-03-22,7995.34
"411",411,6,2,2014-03-22,43135.79
"412",412,6,3,2014-03-22,15478.59
"413",413,7,2,2014-03-22,17891.71
"414",414,7,3,2014-03-22,NA
"415",415,8,2,2014-03-22,NA
"416",416,8,3,2014-03-22,NA
"417",417,9,2,2014-03-22,NA
"418",418,9,3,2014-03-22,11396.04
"419",419,10,2,2014-03-22,NA
"420",420,11,3,2014-03-22,NA
"421",421,12,3,2014-03-22,NA
"422",422,13,2,2014-03-22,9943.29
"423",423,13,3,2014-03-22,24148.86
"424",424,14,2,2014-03-22,NA
"425",425,14,3,2014-03-22,NA
"426",426,15,4,2014-03-22,131754061.94
"427",427,15,5,2014-03-22,15366.2
"428",428,15,6,2014-03-22,12475.96
"429",429,15,7,2014-03-22,10886.85
"430",430,15,8,2014-03-22,34172.4
"431",431,15,9,2014-03-22,4351.45
"432",432,15,10,2014-03-22,74.08
"433",433,15,11,2014-03-22,63956.23
"434",434,15,12,2014-03-22,1213.61
"435",435,15,13,2014-03-22,38288.18
"436",436,15,14,2014-03-22,8515.23
"437",437,15,15,2014-03-22,12908.22
"438",438,15,16,2014-03-22,72330.56
"439",439,15,17,2014-03-22,11567.16
"440",440,15,18,2014-03-22,1099.12
"441",441,15,19,2014-03-22,147560.29
"442",442,15,20,2014-03-22,13624.47
"443",443,15,21,2014-03-22,4436.36
"444",444,15,22,2014-03-22,4730.03
"445",445,15,23,2014-03-22,12820.62
"446",446,15,24,2014-03-22,2564.49
"447",447,15,25,2014-03-22,240444.68
"448",448,15,26,2014-03-22,68819.33
"449",449,15,27,2014-03-22,96582.65
"450",450,15,28,2014-03-22,32927.92
"451",451,15,29,2014-03-22,22838.73
"452",452,15,30,2014-03-22,227544.23
"453",453,2,31,2014-03-22,33.86
"454",454,2,32,2014-03-22,20.59
"455",455,3,32,2014-03-22,4.71
"456",456,4,31,2014-03-22,NA
"457",457,5,31,2014-03-22,3.33
"458",458,6,31,2014-03-22,17.94
"459",459,6,32,2014-03-22,6.8
"460",460,7,31,2014-03-22,7.44
"461",461,7,32,2014-03-22,NA
"462",462,8,31,2014-03-22,NA
"463",463,8,32,2014-03-22,NA
"464",464,9,31,2014-03-22,NA
"465",465,9,32,2014-03-22,5.01
"466",466,10,31,2014-03-22,NA
"467",467,11,32,2014-03-22,NA
"468",468,12,32,2014-03-22,NA
"469",469,13,31,2014-03-22,4.14
"470",470,13,32,2014-03-22,10.61
"471",471,14,31,2014-03-22,NA
"472",472,14,32,2014-03-22,NA
"473",473,15,33,2014-03-22,-1.04
"474",474,15,34,2014-03-22,49.24
"475",475,15,35,2014-03-22,6.39
"476",476,15,36,2014-03-22,5.19
"477",477,15,37,2014-03-22,4.53
"478",478,15,38,2014-03-22,14.21
"479",479,15,39,2014-03-22,1.81
"480",480,15,40,2014-03-22,0.03
"481",481,15,41,2014-03-22,26.6
"482",482,15,42,2014-03-22,0.5
"483",483,15,43,2014-03-22,15.92
"484",484,15,44,2014-03-22,3.54
"485",485,15,45,2014-03-22,5.37
"486",486,15,46,2014-03-22,30.08
"487",487,15,47,2014-03-22,4.81
"488",488,15,48,2014-03-22,0.46
"489",489,15,49,2014-03-22,61.37
"490",490,15,50,2014-03-22,5.67
"491",491,15,51,2014-03-22,1.85
"492",492,15,52,2014-03-22,1.97
